Seat Allocation,Deboarding Strategy,Total Missed Pax,List Missed Pax,Average Deboarding Time,List Deboarding Time
RANDOM_SEAT_ALLOCATION,COURTESY_DEBOARDING_RULE_DEBOARDING,1817,"[0, 0, 0, 17, 0, 0, 0, 0, 10, 0, 0, 0, 0, 36, 0, 0, 29, 0, 0, 0, 23, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 27, 0, 10, 0, 0, 0, 29, 6, 0, 32, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 34, 0, 0, 0, 14, 0, 62, 0, 29, 0, 0, 6, 0, 39, 0, 32, 0, 0, 0, 24, 0, 0, 19, 12, 0, 0, 0, 0, 0, 0, 11, 0, 0, 41, 6, 0, 0, 0, 18, 0, 6, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 58, 0, 0, 0, 0, 0, 40, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 0, 13, 0, 46, 53, 0, 16, 0, 90, 0, 47, 7, 0, 0, 0, 0, 22, 0, 0, 0, 12, 9, 0, 0, 0, 0, 0, 0, 61, 0, 21, 19, 0, 0, 3, 23, 37, 0, 0, 0, 0, 0, 77, 0, 0, 0, 5, 0, 19, 0, 0, 0, 0, 0, 19, 0, 0, 0, 37, 4, 0, 0, 0, 0, 0, 0, 11, 68, 9, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 12, 0, 27, 1, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 76]",551.5833333333334,"[773.5, 716.0, 789.0, 525.0, 518.0, 679.5, 291.0, 572.0, 621.5, 371.0, 356.5, 506.5, 609.5, 669.0, 438.0, 845.0, 464.0, 507.0, 627.5, 535.0, 586.5, 467.5, 516.0, 488.5, 580.0, 710.0, 705.5, 510.0, 497.5, 397.5, 389.0, 417.5, 542.5, 583.0, 621.0, 523.5, 482.0, 581.0, 388.0, 497.0, 550.0, 477.0, 375.5, 744.5, 600.0, 376.0, 663.0, 678.5, 614.5, 522.5, 567.0, 719.5, 492.0, 609.5, 688.5, 636.0, 683.0, 425.5, 441.5, 709.0, 302.0, 606.5, 582.5, 363.0, 565.0, 580.5, 665.5, 496.0, 623.5, 464.0, 668.0, 689.0, 530.0, 667.5, 529.5, 516.0, 434.0, 574.0, 758.0, 595.0, 719.0, 647.0, 497.5, 382.5, 638.5, 417.5, 388.5, 610.5, 528.0, 522.5, 418.5, 454.5, 630.0, 360.0, 533.0, 604.5, 560.0, 532.5, 531.0, 554.0, 620.0, 491.5, 618.0, 546.0, 538.0, 517.5, 566.5, 677.5, 573.5, 651.5, 535.0, 534.5, 404.5, 392.5, 538.0, 402.5, 466.5, 656.0, 598.0, 430.5, 511.0, 618.0, 538.5, 661.5, 688.5, 507.0, 590.5, 428.0, 381.0, 519.0, 539.0, 667.5, 497.0, 433.5, 237.0, 589.5, 689.5, 582.0, 687.0, 657.0, 738.0, 497.5, 372.5, 461.0, 600.5, 672.5, 555.5, 679.5, 424.5, 551.0, 413.5, 453.0, 495.0, 653.0, 452.5, 454.5, 379.0, 590.5, 477.0, 645.0, 383.0, 503.0, 519.0, 732.0, 773.5, 545.5, 427.5, 365.5, 496.5, 550.5, 446.5, 632.5, 395.0, 805.5, 685.0, 705.5, 520.5, 402.0, 437.5, 726.5, 647.5, 659.5, 382.5, 409.0, 696.5, 704.0, 381.5, 810.0, 618.5, 506.0, 697.5, 477.0, 557.5, 546.5, 678.5, 371.0, 614.5, 900.0, 370.0, 591.0, 560.0, 656.5, 365.0, 786.5, 528.0, 450.0, 561.5, 757.5, 467.5, 619.0, 512.0, 416.0, 652.5, 658.0, 469.5, 557.5, 531.5, 645.5, 525.5, 667.0, 525.0, 429.0, 361.0, 622.5, 368.0, 734.5, 697.0, 426.0, 521.5, 395.0, 484.5, 318.5, 776.5, 462.0, 421.0, 478.5, 639.0, 543.0, 341.0, 478.5, 631.5, 799.5, 670.0, 661.0, 532.5, 378.0, 578.0, 570.5, 695.0, 620.5, 644.0, 418.5, 574.5, 678.5, 436.0, 526.5, 730.5, 553.0, 508.0, 469.5, 577.5, 792.5, 385.5, 498.5, 743.0, 612.5, 409.5, 364.0, 582.0, 652.0]"
RANDOM_SEAT_ALLOCATION,AISLE_PRIORITY_DEBOARDING_RULE,1749,"[0, 0, 0, 15, 0, 0, 0, 0, 10, 0, 0, 0, 0, 36, 0, 0, 29, 0, 0, 0, 17, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 27, 0, 10, 0, 0, 0, 27, 0, 0, 30, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 29, 0, 0, 0, 14, 0, 62, 0, 24, 0, 0, 0, 0, 39, 0, 32, 0, 0, 0, 24, 0, 0, 19, 12, 0, 0, 0, 0, 0, 0, 11, 0, 0, 41, 6, 0, 0, 0, 18, 0, 6, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 40, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 0, 13, 0, 46, 53, 0, 16, 0, 90, 0, 47, 7, 0, 0, 0, 0, 22, 0, 0, 0, 12, 9, 0, 0, 0, 0, 0, 0, 61, 0, 21, 15, 0, 0, 0, 17, 37, 0, 0, 0, 0, 0, 77, 0, 0, 0, 5, 0, 19, 0, 0, 0, 0, 0, 19, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 11, 62, 9, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 27, 0, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 76]",306.5314814814815,"[358.5, 329.5, 351.0, 290.0, 284.0, 319.5, 255.5, 303.5, 317.0, 253.5, 252.5, 311.5, 314.0, 319.5, 293.0, 347.0, 279.5, 280.5, 324.5, 301.0, 320.0, 304.5, 304.0, 308.5, 322.5, 355.5, 338.5, 311.0, 298.5, 265.5, 261.5, 276.5, 304.0, 309.0, 330.0, 299.0, 277.0, 319.0, 268.0, 308.5, 315.0, 292.0, 269.0, 332.5, 302.5, 276.5, 336.0, 344.0, 309.0, 298.5, 301.5, 359.0, 288.0, 319.5, 340.0, 327.5, 356.5, 304.5, 289.0, 344.5, 267.5, 289.5, 310.0, 271.5, 288.0, 301.0, 328.0, 315.5, 331.5, 284.5, 324.5, 331.0, 297.5, 324.0, 300.0, 292.0, 293.0, 310.5, 344.5, 332.0, 345.0, 327.0, 297.0, 263.0, 326.0, 275.5, 278.0, 344.5, 295.5, 296.0, 277.5, 299.0, 357.0, 281.5, 303.0, 305.0, 315.5, 315.5, 305.5, 294.0, 336.0, 293.5, 319.5, 297.5, 301.0, 302.5, 308.5, 341.0, 304.5, 331.5, 317.5, 303.0, 269.5, 284.5, 294.5, 260.5, 302.5, 321.0, 322.5, 271.0, 296.0, 335.5, 309.0, 351.5, 352.0, 302.5, 320.0, 279.0, 255.5, 302.0, 306.0, 337.0, 306.0, 292.0, 220.5, 331.5, 350.0, 312.5, 327.5, 323.5, 340.5, 291.5, 285.0, 290.5, 310.5, 319.5, 307.5, 334.0, 290.5, 302.0, 280.0, 294.5, 305.5, 325.0, 268.0, 288.5, 253.5, 321.0, 283.5, 318.0, 259.5, 280.0, 296.5, 340.5, 367.5, 298.0, 296.5, 268.5, 282.5, 312.0, 311.0, 328.5, 272.5, 358.5, 335.5, 332.0, 307.5, 281.5, 288.0, 339.0, 315.0, 346.5, 248.0, 295.0, 328.5, 331.0, 270.5, 335.5, 327.5, 327.0, 328.0, 277.5, 303.5, 318.0, 340.5, 256.5, 322.5, 357.5, 256.5, 325.5, 302.0, 335.5, 260.0, 342.0, 292.5, 285.5, 304.0, 329.0, 286.0, 338.5, 298.5, 275.0, 336.0, 322.0, 306.0, 304.0, 290.5, 326.5, 328.5, 322.5, 297.5, 289.5, 266.0, 324.0, 278.5, 335.0, 338.0, 301.0, 307.5, 293.5, 303.5, 256.5, 328.5, 285.0, 278.0, 287.0, 315.0, 317.5, 238.0, 269.0, 334.0, 367.0, 317.0, 338.5, 299.0, 269.5, 310.5, 299.5, 332.5, 315.5, 329.0, 263.0, 319.5, 314.5, 277.5, 308.0, 354.5, 302.5, 308.0, 284.5, 297.5, 364.0, 259.0, 312.0, 327.5, 323.5, 273.5, 268.0, 297.5, 329.5]"
CONNECTING_PAX_PRIORITY_SEAT_ALLOCATION,COURTESY_DEBOARDING_RULE_DEBOARDING,1773,"[0, 0, 0, 16, 0, 0, 0, 0, 10, 0, 0, 0, 0, 36, 0, 0, 29, 0, 0, 0, 21, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 27, 0, 10, 0, 0, 0, 27, 1, 0, 33, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 29, 0, 0, 0, 14, 0, 62, 0, 26, 0, 0, 0, 0, 39, 0, 32, 0, 0, 0, 24, 0, 0, 19, 12, 0, 0, 0, 0, 0, 0, 11, 0, 0, 41, 6, 0, 0, 0, 18, 0, 6, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 40, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 0, 13, 0, 46, 53, 0, 16, 0, 90, 0, 47, 7, 0, 0, 0, 0, 22, 0, 0, 0, 12, 9, 0, 0, 0, 0, 0, 0, 61, 0, 21, 14, 0, 0, 1, 19, 37, 0, 0, 0, 0, 0, 77, 0, 0, 0, 5, 0, 17, 0, 0, 0, 0, 0, 19, 0, 0, 0, 37, 2, 0, 0, 0, 0, 0, 0, 11, 70, 9, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 27, 1, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 76]",556.087037037037,"[712.5, 716.5, 817.0, 511.5, 512.5, 693.0, 310.5, 552.0, 583.0, 387.5, 367.0, 551.5, 603.0, 720.0, 440.0, 807.0, 462.0, 545.0, 713.5, 537.5, 594.0, 448.0, 560.5, 499.0, 659.5, 753.0, 738.5, 509.5, 458.0, 401.5, 428.0, 425.0, 512.0, 665.0, 639.0, 529.0, 469.0, 551.5, 402.0, 548.5, 505.0, 518.0, 364.0, 726.5, 588.5, 430.0, 700.5, 741.5, 574.0, 494.0, 549.0, 668.5, 506.5, 622.5, 696.5, 657.0, 659.0, 487.0, 464.0, 707.0, 339.0, 544.0, 627.5, 410.0, 520.5, 602.5, 628.5, 520.5, 655.0, 445.0, 725.0, 703.5, 461.0, 630.5, 510.0, 498.5, 456.0, 561.5, 776.5, 652.5, 646.0, 613.0, 475.5, 392.5, 633.0, 397.0, 367.5, 647.5, 465.5, 532.5, 425.0, 481.5, 643.0, 384.5, 477.0, 592.0, 599.0, 667.5, 543.5, 581.5, 618.5, 504.5, 617.0, 563.5, 533.5, 604.0, 626.0, 663.0, 603.5, 654.0, 619.0, 595.0, 458.0, 459.5, 478.5, 368.0, 529.0, 709.5, 624.0, 421.5, 522.5, 578.0, 582.5, 807.0, 675.0, 541.5, 554.0, 380.0, 400.0, 484.0, 522.5, 703.0, 529.5, 470.0, 231.5, 632.5, 677.0, 616.0, 698.0, 630.5, 669.0, 503.5, 379.0, 465.0, 622.5, 581.0, 587.0, 691.0, 421.5, 591.0, 442.5, 510.5, 472.0, 664.5, 467.0, 456.0, 430.0, 525.5, 471.0, 640.5, 364.5, 508.0, 511.0, 706.0, 849.5, 557.0, 407.0, 358.0, 491.0, 667.0, 463.0, 607.5, 432.5, 767.5, 748.5, 709.5, 565.5, 395.0, 445.5, 714.5, 613.0, 876.0, 355.5, 414.0, 743.0, 665.0, 388.0, 747.0, 600.0, 512.5, 750.0, 482.0, 448.5, 539.0, 726.5, 358.0, 603.5, 802.0, 379.5, 549.0, 528.5, 621.5, 377.0, 724.0, 509.5, 403.5, 543.5, 711.5, 551.5, 589.0, 492.0, 433.5, 571.0, 698.0, 479.5, 582.5, 543.0, 579.0, 545.5, 606.0, 543.5, 403.0, 358.5, 589.0, 361.0, 678.5, 603.0, 425.0, 530.0, 429.5, 498.5, 317.5, 795.0, 442.5, 488.0, 429.5, 666.5, 606.5, 298.0, 456.5, 697.0, 757.0, 646.5, 613.5, 520.5, 394.5, 632.5, 541.5, 710.0, 599.0, 618.5, 400.0, 596.0, 656.0, 445.0, 552.5, 739.0, 528.5, 577.0, 473.0, 551.0, 774.5, 382.5, 553.5, 725.0, 636.0, 426.0, 377.0, 605.0, 688.0]"
CONNECTING_PAX_PRIORITY_SEAT_ALLOCATION,AISLE_PRIORITY_DEBOARDING_RULE,1751,"[0, 0, 0, 15, 0, 0, 0, 0, 10, 0, 0, 0, 0, 36, 0, 0, 29, 0, 0, 0, 18, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 27, 0, 10, 0, 0, 0, 27, 0, 0, 30, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 29, 0, 0, 0, 14, 0, 62, 0, 24, 0, 0, 0, 0, 39, 0, 32, 0, 0, 0, 24, 0, 0, 19, 12, 0, 0, 0, 0, 0, 0, 11, 0, 0, 41, 6, 0, 0, 0, 18, 0, 6, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 40, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 0, 13, 0, 46, 53, 0, 16, 0, 90, 0, 47, 7, 0, 0, 0, 0, 22, 0, 0, 0, 12, 9, 0, 0, 0, 0, 0, 0, 61, 0, 21, 14, 0, 0, 0, 17, 37, 0, 0, 0, 0, 0, 77, 0, 0, 0, 5, 0, 17, 0, 0, 0, 0, 0, 19, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 11, 66, 9, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 27, 0, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 76]",307.14629629629627,"[344.5, 347.0, 374.0, 286.0, 290.5, 336.0, 256.0, 303.0, 315.5, 258.0, 258.0, 298.5, 323.0, 328.0, 284.0, 345.5, 284.5, 289.0, 323.5, 291.5, 329.0, 296.5, 310.5, 308.0, 326.5, 342.0, 338.5, 303.5, 294.5, 273.5, 263.5, 289.5, 301.0, 332.5, 337.5, 308.0, 281.0, 315.5, 260.5, 300.0, 323.0, 292.0, 274.5, 340.0, 328.0, 277.0, 343.5, 328.5, 333.5, 302.5, 304.5, 353.5, 287.5, 320.5, 334.5, 336.0, 347.5, 294.0, 287.0, 329.0, 269.5, 303.0, 305.5, 279.5, 287.0, 298.0, 325.0, 297.5, 335.0, 297.0, 332.0, 331.5, 301.0, 318.5, 299.0, 298.5, 298.0, 314.0, 342.0, 320.0, 320.0, 337.5, 301.0, 273.0, 344.5, 280.5, 267.5, 326.0, 297.5, 309.5, 286.5, 283.5, 373.0, 275.5, 301.5, 307.0, 306.5, 329.5, 310.5, 314.5, 330.5, 287.0, 323.0, 297.0, 305.0, 311.5, 317.0, 344.0, 307.0, 319.0, 314.5, 297.0, 268.0, 290.0, 296.5, 272.0, 298.0, 329.5, 302.0, 272.0, 299.5, 319.5, 312.0, 342.0, 344.5, 301.5, 323.5, 287.5, 261.0, 316.5, 311.5, 331.5, 315.5, 282.5, 219.0, 317.5, 326.5, 314.5, 322.0, 325.0, 341.0, 294.0, 271.5, 282.5, 303.5, 324.0, 309.5, 338.0, 268.5, 309.0, 288.0, 296.0, 304.0, 325.0, 275.0, 287.5, 257.0, 313.5, 279.0, 313.5, 260.0, 289.5, 286.0, 342.0, 370.0, 309.0, 289.5, 277.5, 288.5, 302.5, 285.0, 325.0, 271.0, 344.0, 334.5, 366.0, 308.0, 274.0, 294.5, 349.0, 320.0, 373.5, 255.0, 290.0, 339.5, 327.5, 269.0, 324.0, 313.5, 301.0, 334.5, 272.5, 295.0, 312.0, 319.5, 268.0, 331.5, 375.5, 254.0, 328.0, 299.0, 322.0, 260.5, 349.0, 295.0, 292.0, 309.0, 325.5, 286.0, 342.0, 314.5, 265.0, 326.5, 331.5, 298.0, 307.5, 306.5, 327.5, 318.5, 332.5, 304.0, 288.5, 264.5, 326.5, 281.0, 351.5, 340.0, 291.0, 309.5, 285.5, 311.0, 261.5, 337.5, 287.0, 272.5, 281.0, 300.5, 310.5, 246.0, 273.5, 318.0, 363.5, 327.0, 340.0, 302.5, 262.5, 301.0, 302.0, 325.0, 322.0, 343.5, 267.0, 319.0, 314.5, 282.5, 308.0, 363.0, 303.0, 293.0, 286.0, 295.5, 360.5, 263.0, 313.0, 334.5, 333.0, 263.5, 264.5, 315.0, 330.0]"
