Seat Allocation,Deboarding Strategy,Total Missed Pax,List Missed Pax,Average Deboarding Time,List Deboarding Time
RANDOM_SEAT_ALLOCATION,COURTESY_DEBOARDING_RULE_DEBOARDING,1816,"[0, 0, 0, 19, 0, 0, 0, 0, 10, 0, 0, 0, 0, 36, 0, 0, 29, 0, 0, 0, 20, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 27, 0, 10, 0, 0, 0, 30, 7, 0, 35, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 33, 0, 0, 0, 14, 0, 62, 0, 29, 0, 0, 4, 0, 39, 0, 32, 0, 0, 0, 24, 0, 0, 21, 12, 0, 0, 0, 0, 0, 0, 11, 0, 0, 41, 6, 0, 0, 0, 18, 0, 6, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 58, 0, 0, 0, 0, 0, 40, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 0, 13, 0, 46, 53, 0, 16, 0, 90, 0, 47, 7, 0, 0, 0, 0, 22, 0, 0, 0, 12, 9, 0, 0, 0, 0, 0, 0, 61, 0, 21, 18, 0, 0, 2, 22, 37, 0, 0, 0, 0, 0, 77, 0, 0, 0, 5, 0, 19, 0, 0, 0, 0, 0, 19, 0, 0, 0, 37, 5, 0, 0, 0, 0, 0, 0, 11, 70, 9, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 10, 0, 27, 0, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 76]",552.7796296296297,"[773.0, 610.5, 816.0, 530.5, 472.0, 594.0, 258.5, 562.5, 617.0, 444.0, 404.5, 572.5, 609.5, 678.0, 442.0, 785.0, 390.0, 560.5, 662.5, 562.5, 612.0, 489.5, 471.5, 498.0, 726.0, 747.5, 832.5, 555.0, 490.5, 381.0, 376.5, 460.0, 581.5, 559.0, 606.5, 596.0, 445.5, 583.5, 415.0, 498.0, 560.0, 535.5, 379.5, 783.5, 545.5, 345.5, 583.5, 724.0, 488.5, 513.5, 615.0, 745.5, 582.5, 530.5, 777.0, 648.0, 581.5, 482.5, 452.5, 797.5, 350.5, 588.5, 489.0, 350.5, 514.0, 530.5, 653.5, 548.5, 691.5, 508.5, 652.5, 717.5, 511.0, 625.5, 547.0, 483.5, 431.0, 560.0, 684.0, 613.5, 670.5, 716.0, 498.5, 364.5, 583.0, 429.0, 422.0, 592.5, 520.0, 582.5, 439.0, 353.5, 691.0, 413.0, 490.0, 580.0, 570.0, 616.5, 550.5, 524.0, 627.0, 472.0, 619.0, 548.5, 521.5, 507.5, 494.5, 714.0, 520.0, 628.0, 536.0, 617.0, 413.5, 360.0, 464.5, 372.0, 529.0, 685.0, 583.0, 387.5, 524.5, 568.0, 605.5, 710.0, 766.5, 540.0, 603.5, 363.0, 463.0, 491.0, 505.5, 732.5, 504.5, 428.0, 224.5, 643.5, 804.5, 585.0, 618.0, 681.5, 627.0, 468.5, 397.5, 510.5, 544.0, 607.5, 542.0, 639.0, 388.5, 645.0, 386.5, 441.0, 518.5, 630.5, 498.0, 465.5, 408.0, 584.0, 463.5, 517.0, 367.0, 528.5, 500.5, 728.0, 774.0, 561.0, 437.5, 455.0, 484.5, 468.5, 439.0, 612.5, 388.0, 747.0, 628.0, 688.5, 518.0, 391.0, 389.5, 833.0, 655.0, 717.0, 328.0, 463.5, 696.0, 682.5, 427.0, 705.5, 561.5, 550.0, 744.5, 471.5, 546.5, 559.0, 647.0, 390.0, 604.5, 771.0, 320.0, 633.5, 636.0, 648.0, 366.0, 813.0, 438.5, 433.0, 553.0, 707.5, 463.5, 629.0, 474.0, 374.0, 626.0, 658.0, 495.5, 589.0, 566.5, 523.5, 571.5, 756.5, 572.5, 485.0, 446.0, 584.0, 441.0, 763.5, 686.0, 408.0, 542.5, 363.5, 548.0, 376.0, 758.0, 410.0, 456.0, 418.0, 471.0, 527.5, 372.0, 507.0, 655.5, 767.0, 697.5, 689.5, 542.0, 417.0, 595.5, 581.5, 644.5, 650.0, 773.5, 369.0, 651.0, 706.0, 374.0, 609.5, 705.5, 600.5, 440.5, 473.0, 443.5, 796.0, 382.0, 601.5, 782.5, 565.5, 392.0, 357.0, 531.0, 745.0]"
RANDOM_SEAT_ALLOCATION,AISLE_PRIORITY_DEBOARDING_RULE,1759,"[0, 0, 0, 15, 0, 0, 0, 0, 10, 0, 0, 0, 0, 36, 0, 0, 29, 0, 0, 0, 18, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 27, 0, 10, 0, 0, 0, 27, 0, 0, 32, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 29, 0, 0, 0, 14, 0, 62, 0, 24, 0, 0, 0, 0, 39, 0, 32, 0, 0, 0, 24, 0, 0, 19, 12, 0, 0, 0, 0, 0, 0, 11, 0, 0, 41, 6, 0, 0, 0, 18, 0, 6, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 40, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 0, 13, 0, 46, 53, 0, 16, 0, 90, 0, 47, 7, 0, 0, 0, 0, 22, 0, 0, 0, 12, 9, 0, 0, 0, 0, 0, 0, 61, 0, 21, 16, 0, 0, 0, 17, 37, 0, 0, 0, 0, 0, 77, 0, 0, 0, 5, 0, 18, 0, 0, 0, 0, 0, 19, 0, 0, 0, 37, 2, 0, 0, 0, 0, 0, 0, 11, 67, 9, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 27, 0, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 76]",304.787037037037,"[323.0, 333.5, 347.0, 286.5, 299.0, 337.0, 232.0, 314.0, 312.5, 273.0, 257.5, 310.0, 324.5, 318.5, 290.5, 349.0, 268.0, 296.0, 324.5, 298.0, 298.0, 293.5, 302.5, 316.0, 326.5, 327.0, 367.5, 311.5, 299.5, 243.0, 268.5, 278.0, 324.5, 293.0, 322.5, 313.0, 286.5, 301.5, 269.5, 288.0, 320.0, 308.0, 267.0, 341.0, 313.5, 262.5, 324.5, 330.0, 294.0, 301.5, 311.0, 338.5, 310.5, 306.5, 365.5, 345.0, 338.0, 285.0, 276.5, 347.0, 274.0, 303.0, 319.5, 259.5, 300.0, 307.5, 331.5, 298.5, 332.5, 277.5, 332.0, 336.0, 311.5, 326.0, 298.0, 275.0, 296.0, 328.0, 343.5, 334.5, 337.0, 319.5, 288.0, 256.0, 313.5, 274.5, 283.5, 306.0, 312.0, 301.5, 270.0, 252.0, 323.5, 263.0, 284.5, 322.5, 311.0, 322.5, 306.0, 303.5, 286.0, 292.5, 303.0, 309.0, 335.0, 315.5, 321.5, 335.0, 298.0, 324.5, 325.5, 304.5, 286.5, 261.5, 287.0, 281.0, 300.5, 334.0, 310.0, 255.0, 294.0, 313.0, 323.0, 335.5, 332.5, 305.5, 296.0, 260.5, 284.5, 280.0, 285.0, 336.5, 301.5, 285.0, 220.0, 321.5, 371.0, 316.5, 332.5, 338.0, 324.0, 300.5, 267.0, 293.5, 333.0, 319.5, 296.5, 323.0, 267.5, 327.0, 295.0, 276.5, 290.5, 320.0, 285.5, 277.5, 276.0, 315.0, 292.0, 300.5, 273.0, 300.5, 286.0, 346.0, 344.0, 316.5, 267.5, 258.5, 293.5, 287.5, 276.0, 318.0, 269.5, 357.5, 328.5, 330.5, 317.0, 257.0, 271.0, 363.5, 328.5, 330.5, 241.0, 313.5, 339.0, 328.0, 271.5, 329.0, 313.5, 299.5, 325.5, 277.5, 297.0, 328.0, 337.5, 261.0, 327.0, 350.0, 250.5, 319.0, 309.0, 317.5, 258.5, 353.0, 289.5, 287.5, 310.0, 340.0, 283.0, 305.5, 274.5, 265.5, 324.5, 330.5, 294.0, 301.0, 310.0, 304.5, 308.5, 315.0, 320.5, 303.5, 268.5, 293.0, 273.0, 340.0, 322.0, 277.5, 317.0, 270.0, 307.5, 265.5, 333.0, 277.5, 275.5, 277.0, 307.0, 299.0, 266.5, 290.5, 324.5, 354.0, 326.5, 337.5, 281.5, 288.0, 328.0, 300.0, 332.5, 294.0, 347.0, 261.5, 325.5, 341.5, 274.5, 316.5, 346.5, 336.5, 298.5, 293.0, 282.0, 352.0, 268.5, 309.5, 363.0, 324.5, 278.5, 264.5, 304.5, 323.0]"
CONNECTING_PAX_PRIORITY_SEAT_ALLOCATION,COURTESY_DEBOARDING_RULE_DEBOARDING,1763,"[0, 0, 0, 15, 0, 0, 0, 0, 10, 0, 0, 0, 0, 36, 0, 0, 29, 0, 0, 0, 20, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 27, 0, 10, 0, 0, 0, 27, 0, 0, 32, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 30, 0, 0, 0, 14, 0, 62, 0, 26, 0, 0, 1, 0, 39, 0, 32, 0, 0, 0, 24, 0, 0, 19, 12, 0, 0, 0, 0, 0, 0, 11, 0, 0, 41, 6, 0, 0, 0, 18, 0, 6, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 40, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 0, 13, 0, 46, 53, 0, 16, 0, 90, 0, 47, 7, 0, 0, 0, 0, 22, 0, 0, 0, 12, 9, 0, 0, 0, 0, 0, 0, 61, 0, 21, 14, 0, 0, 0, 17, 37, 0, 0, 0, 0, 0, 77, 0, 0, 0, 5, 0, 16, 0, 0, 0, 0, 0, 19, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 11, 71, 9, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 27, 0, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 76]",555.5851851851852,"[768.0, 611.5, 871.5, 566.5, 456.0, 627.0, 273.5, 523.5, 564.5, 417.0, 391.5, 598.5, 623.5, 651.0, 508.0, 787.0, 368.0, 548.0, 626.5, 462.5, 659.5, 501.0, 474.0, 484.0, 713.0, 679.5, 886.5, 575.5, 505.0, 347.5, 390.5, 478.0, 537.0, 569.0, 666.0, 591.0, 480.0, 569.5, 376.5, 510.0, 603.5, 484.0, 417.0, 681.0, 545.0, 412.0, 551.5, 740.5, 491.0, 502.0, 580.5, 726.5, 542.5, 494.0, 740.5, 609.5, 656.0, 398.0, 428.5, 770.5, 352.0, 561.5, 535.0, 315.0, 566.5, 521.0, 683.0, 511.5, 726.5, 434.5, 641.0, 680.5, 495.5, 669.5, 596.0, 487.0, 447.0, 529.0, 696.0, 632.0, 701.0, 679.0, 505.5, 358.5, 602.0, 456.0, 425.5, 616.0, 527.5, 566.5, 448.5, 386.5, 643.5, 385.5, 459.0, 519.5, 546.5, 631.0, 599.0, 575.0, 530.0, 504.0, 588.5, 561.0, 563.5, 547.0, 517.0, 741.0, 588.5, 688.0, 545.0, 638.5, 448.5, 372.0, 512.5, 348.0, 525.0, 697.0, 589.0, 380.0, 557.5, 605.0, 570.0, 664.0, 762.5, 554.5, 566.5, 410.0, 419.0, 487.5, 536.5, 693.5, 477.0, 464.0, 230.5, 646.0, 807.5, 548.5, 582.0, 708.5, 609.0, 476.5, 398.5, 496.5, 636.0, 574.5, 511.0, 669.0, 387.0, 692.5, 411.5, 480.0, 469.0, 623.5, 465.5, 452.5, 407.5, 600.0, 502.5, 501.0, 333.0, 546.5, 542.0, 802.0, 750.5, 568.0, 403.5, 458.5, 508.0, 493.0, 410.5, 584.5, 356.0, 716.0, 704.5, 659.0, 533.5, 368.5, 418.0, 817.5, 706.5, 678.5, 313.5, 469.5, 708.5, 721.0, 435.5, 759.0, 544.5, 529.5, 769.5, 510.0, 582.0, 511.5, 697.5, 360.5, 674.5, 762.5, 325.5, 628.5, 658.5, 675.0, 389.5, 834.0, 455.0, 463.0, 538.5, 690.0, 502.0, 604.5, 502.5, 441.5, 628.0, 600.0, 532.0, 517.0, 601.0, 554.5, 506.5, 732.5, 614.0, 510.0, 432.5, 546.0, 455.0, 710.5, 675.5, 431.0, 539.0, 394.0, 524.5, 399.5, 687.5, 404.0, 505.0, 436.5, 483.5, 622.5, 363.5, 498.5, 673.5, 767.5, 655.0, 682.0, 519.0, 487.5, 697.5, 577.5, 631.5, 647.5, 764.5, 357.5, 677.5, 717.5, 379.5, 594.0, 706.5, 683.0, 514.0, 491.0, 460.0, 749.5, 399.5, 586.0, 791.0, 598.0, 414.5, 323.0, 570.5, 713.5]"
CONNECTING_PAX_PRIORITY_SEAT_ALLOCATION,AISLE_PRIORITY_DEBOARDING_RULE,1744,"[0, 0, 0, 15, 0, 0, 0, 0, 10, 0, 0, 0, 0, 36, 0, 0, 29, 0, 0, 0, 17, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 27, 0, 10, 0, 0, 0, 27, 0, 0, 30, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 29, 0, 0, 0, 14, 0, 62, 0, 24, 0, 0, 0, 0, 39, 0, 32, 0, 0, 0, 24, 0, 0, 19, 12, 0, 0, 0, 0, 0, 0, 11, 0, 0, 41, 6, 0, 0, 0, 18, 0, 6, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 40, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 0, 13, 0, 46, 53, 0, 16, 0, 90, 0, 47, 7, 0, 0, 0, 0, 22, 0, 0, 0, 12, 9, 0, 0, 0, 0, 0, 0, 61, 0, 21, 12, 0, 0, 0, 17, 37, 0, 0, 0, 0, 0, 77, 0, 0, 0, 5, 0, 15, 0, 0, 0, 0, 0, 19, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 11, 64, 9, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 27, 0, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 76]",305.6277777777778,"[329.0, 331.5, 348.0, 286.5, 277.5, 327.5, 233.0, 305.0, 311.5, 267.0, 263.0, 321.0, 329.5, 321.5, 290.5, 360.0, 283.5, 300.0, 336.5, 307.5, 307.5, 293.5, 295.0, 305.5, 322.0, 342.5, 369.0, 315.0, 294.5, 256.5, 263.5, 283.5, 315.5, 304.5, 345.5, 307.0, 284.0, 300.0, 274.5, 301.5, 313.0, 298.0, 265.0, 354.5, 306.0, 268.0, 330.5, 355.0, 288.0, 298.5, 308.5, 334.0, 293.5, 306.5, 372.5, 327.5, 332.5, 288.5, 282.5, 339.5, 265.5, 307.5, 311.5, 259.5, 291.5, 310.5, 342.0, 287.5, 335.0, 268.5, 334.0, 333.5, 311.5, 336.0, 311.0, 292.5, 288.0, 322.5, 332.0, 342.5, 333.5, 324.5, 281.5, 254.5, 309.0, 278.0, 293.5, 312.0, 318.5, 306.0, 273.5, 254.0, 325.0, 265.5, 292.0, 329.5, 306.5, 329.0, 294.5, 311.5, 293.5, 287.5, 323.5, 308.0, 326.0, 323.5, 314.0, 318.0, 310.0, 330.0, 310.0, 310.5, 277.0, 255.5, 288.0, 276.5, 308.5, 335.5, 330.0, 270.5, 290.5, 316.0, 314.5, 336.5, 344.5, 317.5, 301.5, 269.0, 271.5, 293.0, 286.5, 343.5, 294.0, 285.0, 212.0, 315.5, 362.0, 311.5, 329.0, 337.5, 322.5, 301.5, 263.5, 312.0, 331.5, 319.0, 300.5, 317.5, 277.0, 320.0, 287.5, 290.0, 299.0, 330.5, 304.5, 280.0, 284.5, 321.5, 294.0, 293.0, 270.5, 303.5, 292.0, 330.5, 341.0, 312.0, 274.5, 281.5, 295.0, 289.0, 280.0, 309.0, 281.0, 346.5, 336.0, 316.0, 302.0, 263.5, 269.5, 349.0, 324.5, 336.0, 242.0, 297.5, 327.0, 325.0, 270.5, 327.5, 312.0, 293.5, 345.0, 275.0, 290.5, 311.5, 325.5, 252.0, 326.0, 374.5, 253.5, 328.0, 314.5, 325.0, 257.5, 356.0, 290.0, 285.0, 302.5, 328.0, 300.5, 307.5, 285.0, 273.0, 330.5, 322.5, 283.0, 311.0, 308.0, 298.5, 301.0, 321.0, 309.5, 317.0, 273.0, 300.0, 281.5, 341.0, 345.5, 263.5, 298.5, 278.0, 325.5, 272.0, 327.0, 300.0, 281.0, 281.5, 303.5, 301.0, 269.5, 289.5, 331.0, 336.5, 332.5, 359.5, 315.5, 287.5, 326.5, 308.5, 331.5, 299.5, 335.5, 260.5, 316.0, 338.5, 258.0, 309.5, 347.0, 316.5, 294.5, 284.5, 295.5, 363.5, 279.0, 306.0, 352.0, 315.0, 273.5, 264.5, 295.0, 326.5]"
