Seat Allocation,Deboarding Strategy,Total Missed Pax,List Missed Pax,Average Deboarding Time,List Deboarding Time
RANDOM_SEAT_ALLOCATION,COURTESY_DEBOARDING_RULE_DEBOARDING,1816,"[0, 0, 0, 19, 0, 0, 0, 0, 10, 0, 0, 0, 0, 36, 0, 0, 29, 0, 0, 0, 22, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 27, 0, 10, 0, 0, 0, 30, 6, 0, 35, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 34, 0, 0, 0, 14, 0, 62, 0, 29, 0, 0, 1, 0, 39, 0, 32, 0, 0, 0, 24, 0, 0, 22, 12, 0, 0, 0, 0, 0, 0, 11, 0, 0, 41, 6, 0, 0, 0, 18, 0, 6, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 40, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 0, 13, 0, 46, 53, 0, 16, 0, 90, 0, 47, 7, 0, 0, 0, 0, 22, 0, 0, 0, 12, 9, 0, 0, 0, 0, 0, 0, 61, 0, 21, 19, 0, 0, 4, 25, 37, 0, 0, 0, 0, 0, 77, 0, 0, 0, 5, 0, 19, 0, 0, 0, 0, 0, 19, 0, 0, 0, 37, 5, 0, 0, 0, 0, 0, 0, 11, 67, 9, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 11, 0, 27, 1, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 76]",559.9203703703704,"[668.5, 631.0, 737.5, 534.5, 467.5, 713.5, 292.0, 569.0, 654.5, 357.0, 388.0, 607.5, 632.0, 737.5, 481.0, 799.0, 490.5, 588.5, 599.5, 528.0, 556.5, 491.5, 509.0, 553.0, 760.5, 769.0, 765.5, 567.0, 478.0, 385.0, 427.5, 456.0, 638.0, 553.0, 790.0, 577.0, 393.5, 594.5, 430.5, 486.5, 572.5, 528.5, 420.0, 666.5, 512.5, 472.5, 721.0, 717.5, 514.0, 623.5, 539.5, 740.5, 506.0, 491.5, 736.0, 626.0, 693.5, 486.0, 423.0, 677.0, 379.5, 609.0, 583.0, 369.5, 473.0, 552.0, 632.0, 519.0, 649.0, 457.5, 737.5, 686.0, 498.5, 687.0, 513.0, 490.0, 475.5, 499.0, 740.0, 634.0, 635.5, 601.5, 527.5, 382.5, 673.5, 472.5, 421.5, 705.0, 528.0, 558.0, 461.5, 349.5, 680.5, 413.0, 469.0, 585.0, 518.0, 666.0, 545.5, 587.0, 592.5, 555.0, 592.5, 591.0, 600.5, 579.5, 589.0, 648.0, 557.0, 724.5, 621.5, 571.0, 442.5, 409.5, 482.5, 358.0, 468.0, 707.0, 555.5, 442.0, 521.0, 632.5, 560.5, 675.5, 698.5, 505.0, 542.5, 396.5, 376.5, 531.0, 543.5, 726.0, 481.0, 563.0, 248.5, 572.5, 706.5, 550.0, 634.5, 623.0, 659.0, 446.0, 349.5, 438.0, 631.0, 689.0, 540.0, 656.5, 474.5, 645.5, 445.0, 444.5, 505.0, 660.0, 518.0, 483.5, 413.5, 531.5, 445.5, 614.5, 412.5, 458.5, 445.5, 798.5, 764.5, 568.5, 416.5, 451.0, 495.5, 554.5, 468.5, 612.5, 377.0, 768.5, 664.0, 687.5, 511.5, 404.0, 459.0, 769.0, 650.5, 769.5, 375.5, 472.0, 718.5, 734.0, 391.5, 628.5, 581.0, 602.0, 787.5, 505.0, 540.0, 585.5, 649.0, 344.5, 710.5, 773.0, 328.0, 702.0, 582.5, 607.0, 407.5, 793.5, 499.5, 524.0, 576.0, 857.5, 470.5, 734.0, 482.0, 404.0, 750.5, 666.0, 486.5, 509.5, 563.0, 531.0, 654.0, 703.5, 569.0, 490.0, 326.0, 598.0, 410.0, 723.0, 661.5, 480.5, 544.0, 385.5, 616.0, 351.5, 665.5, 470.5, 478.0, 464.5, 482.0, 562.5, 342.0, 418.0, 616.5, 809.0, 615.5, 740.5, 524.5, 430.0, 648.0, 539.0, 738.5, 590.0, 814.5, 423.0, 549.0, 697.5, 360.0, 599.0, 573.0, 634.0, 492.5, 420.0, 478.5, 736.5, 374.0, 574.0, 648.5, 641.5, 477.5, 408.5, 558.5, 637.0]"
RANDOM_SEAT_ALLOCATION,AISLE_PRIORITY_DEBOARDING_RULE,1750,"[0, 0, 0, 15, 0, 0, 0, 0, 10, 0, 0, 0, 0, 36, 0, 0, 29, 0, 0, 0, 19, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 27, 0, 10, 0, 0, 0, 27, 0, 0, 30, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 29, 0, 0, 0, 14, 0, 62, 0, 24, 0, 0, 0, 0, 39, 0, 32, 0, 0, 0, 24, 0, 0, 19, 12, 0, 0, 0, 0, 0, 0, 11, 0, 0, 41, 6, 0, 0, 0, 18, 0, 6, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 40, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 0, 13, 0, 46, 53, 0, 16, 0, 90, 0, 47, 7, 0, 0, 0, 0, 22, 0, 0, 0, 12, 9, 0, 0, 0, 0, 0, 0, 61, 0, 21, 13, 0, 0, 0, 17, 37, 0, 0, 0, 0, 0, 77, 0, 0, 0, 5, 0, 18, 0, 0, 0, 0, 0, 19, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 11, 64, 9, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 27, 0, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 76]",306.97962962962964,"[347.5, 323.5, 356.0, 289.0, 281.0, 331.0, 250.5, 307.5, 328.5, 262.0, 262.0, 320.5, 309.5, 328.0, 312.5, 341.5, 279.5, 307.0, 329.0, 282.5, 324.0, 285.0, 300.5, 313.5, 325.0, 335.5, 365.0, 304.5, 293.5, 264.5, 292.0, 270.5, 315.5, 312.0, 344.5, 289.5, 280.5, 323.5, 268.5, 298.0, 312.0, 294.0, 266.0, 336.0, 295.5, 289.5, 335.5, 333.0, 303.0, 298.0, 306.5, 339.0, 300.0, 301.5, 348.0, 339.0, 335.5, 284.5, 270.0, 317.0, 279.5, 313.5, 319.5, 264.0, 302.5, 306.5, 322.0, 302.0, 326.0, 286.5, 348.5, 339.5, 294.0, 332.0, 302.5, 290.0, 283.5, 303.5, 343.0, 332.5, 341.5, 322.0, 293.0, 259.0, 320.0, 275.5, 293.5, 325.5, 295.0, 326.0, 291.5, 263.0, 355.0, 280.0, 291.5, 316.0, 292.0, 323.0, 303.0, 309.5, 300.0, 311.0, 308.0, 301.0, 324.0, 307.0, 324.5, 334.0, 309.0, 323.5, 310.0, 296.5, 277.0, 272.0, 298.0, 266.0, 287.0, 332.5, 304.0, 269.5, 313.0, 315.5, 305.0, 320.5, 357.5, 304.5, 299.5, 263.5, 277.0, 290.5, 302.0, 315.0, 297.5, 303.0, 219.5, 331.0, 351.0, 322.5, 331.0, 322.5, 342.5, 280.5, 269.0, 308.5, 311.5, 323.0, 294.0, 340.0, 292.0, 306.0, 280.5, 288.0, 309.0, 329.5, 282.5, 290.5, 280.0, 317.0, 292.5, 308.5, 276.5, 278.0, 289.0, 358.5, 350.0, 316.5, 295.0, 290.0, 296.0, 337.0, 289.0, 325.5, 263.0, 348.0, 327.0, 328.5, 307.0, 288.0, 276.0, 363.0, 321.5, 359.0, 262.5, 294.0, 324.0, 322.0, 272.0, 318.0, 303.0, 322.5, 330.5, 308.0, 306.5, 311.0, 325.0, 253.0, 340.5, 355.5, 251.5, 330.0, 302.0, 333.0, 267.5, 352.0, 293.5, 286.0, 306.5, 356.5, 287.0, 338.0, 298.5, 281.5, 335.5, 314.0, 306.5, 306.5, 300.5, 303.5, 313.5, 329.0, 306.5, 285.0, 266.0, 310.5, 281.0, 335.0, 350.5, 291.5, 293.5, 275.5, 306.5, 263.5, 312.5, 281.5, 296.0, 281.0, 287.0, 304.5, 285.5, 298.0, 322.5, 340.5, 342.5, 330.5, 316.0, 271.5, 320.5, 295.5, 349.0, 322.5, 331.0, 265.5, 298.0, 322.5, 301.0, 348.5, 333.5, 319.0, 302.0, 280.0, 298.5, 343.5, 308.5, 291.0, 337.0, 303.5, 290.5, 268.5, 317.0, 316.0]"
CONNECTING_PAX_PRIORITY_SEAT_ALLOCATION,COURTESY_DEBOARDING_RULE_DEBOARDING,1765,"[0, 0, 0, 15, 0, 0, 0, 0, 10, 0, 0, 0, 0, 36, 0, 0, 29, 0, 0, 0, 20, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 27, 0, 10, 0, 0, 0, 27, 0, 0, 36, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 29, 0, 0, 0, 14, 0, 62, 0, 25, 0, 0, 0, 0, 39, 0, 32, 0, 0, 0, 24, 0, 0, 19, 12, 0, 0, 0, 0, 0, 0, 11, 0, 0, 41, 6, 0, 0, 0, 18, 0, 6, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 40, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 0, 13, 0, 46, 53, 0, 16, 0, 90, 0, 47, 7, 0, 0, 0, 0, 22, 0, 0, 0, 12, 9, 0, 0, 0, 0, 0, 0, 61, 0, 21, 11, 0, 0, 0, 17, 37, 0, 0, 0, 0, 0, 77, 0, 0, 0, 5, 0, 19, 0, 0, 0, 0, 0, 19, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 11, 72, 9, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 27, 0, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 76]",555.9574074074075,"[772.5, 742.5, 706.0, 487.0, 456.5, 654.5, 272.5, 554.5, 587.5, 362.0, 385.0, 571.0, 646.5, 720.5, 490.0, 730.0, 514.0, 537.0, 627.0, 490.5, 550.5, 447.5, 496.0, 512.5, 743.5, 724.5, 815.5, 570.0, 467.5, 373.5, 421.5, 444.5, 628.5, 622.5, 755.5, 545.0, 425.5, 612.0, 420.5, 547.5, 534.5, 532.0, 418.0, 742.5, 557.0, 509.0, 620.0, 681.0, 520.0, 527.5, 496.0, 689.0, 520.0, 573.5, 735.5, 688.5, 640.0, 491.5, 405.0, 695.0, 413.5, 616.0, 573.5, 386.0, 516.5, 540.5, 659.5, 521.0, 663.0, 449.0, 677.5, 715.0, 468.0, 652.0, 542.5, 486.5, 484.5, 488.0, 733.5, 645.5, 687.5, 679.5, 535.0, 361.5, 667.0, 404.5, 440.0, 676.5, 486.5, 547.5, 457.5, 354.0, 675.5, 373.0, 476.0, 565.0, 501.0, 629.0, 474.5, 586.5, 581.0, 487.5, 595.5, 579.0, 584.5, 590.5, 602.0, 643.0, 529.0, 750.0, 605.0, 556.0, 429.0, 398.5, 489.0, 323.5, 501.5, 691.5, 544.0, 387.5, 510.0, 621.0, 584.5, 719.5, 756.5, 531.0, 593.5, 375.0, 402.0, 520.0, 470.0, 699.0, 556.0, 531.0, 221.0, 602.0, 648.5, 577.5, 678.5, 648.0, 721.0, 410.0, 347.5, 411.5, 653.5, 718.0, 517.5, 706.5, 521.0, 613.5, 442.5, 501.5, 493.5, 654.0, 496.0, 504.0, 367.0, 558.5, 420.0, 588.0, 399.0, 464.5, 488.0, 745.0, 808.5, 529.0, 444.5, 399.0, 483.5, 590.5, 409.5, 626.5, 410.5, 703.5, 701.5, 692.0, 491.0, 397.5, 428.0, 701.5, 685.0, 737.0, 328.0, 443.0, 687.5, 732.5, 381.5, 686.0, 549.0, 622.0, 824.0, 556.5, 534.0, 628.5, 654.5, 369.0, 689.0, 823.5, 357.0, 725.5, 648.0, 690.0, 362.0, 782.0, 429.0, 446.5, 554.0, 809.5, 418.5, 735.0, 490.0, 398.0, 649.0, 654.5, 512.0, 501.0, 604.5, 454.0, 620.0, 697.0, 532.0, 462.0, 381.0, 596.5, 413.0, 720.5, 622.5, 515.5, 590.0, 413.0, 554.5, 362.5, 595.5, 456.5, 476.5, 461.5, 578.5, 539.0, 320.5, 392.0, 655.5, 769.5, 617.5, 722.5, 554.0, 427.5, 611.5, 544.0, 671.5, 570.5, 723.0, 395.5, 537.0, 769.0, 471.0, 599.0, 630.0, 596.5, 458.5, 461.5, 521.0, 705.0, 392.5, 547.5, 625.0, 583.0, 415.5, 394.0, 573.0, 631.0]"
CONNECTING_PAX_PRIORITY_SEAT_ALLOCATION,AISLE_PRIORITY_DEBOARDING_RULE,1739,"[0, 0, 0, 15, 0, 0, 0, 0, 10, 0, 0, 0, 0, 36, 0, 0, 29, 0, 0, 0, 17, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 27, 0, 10, 0, 0, 0, 27, 0, 0, 30, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 29, 0, 0, 0, 14, 0, 62, 0, 24, 0, 0, 0, 0, 39, 0, 32, 0, 0, 0, 24, 0, 0, 19, 12, 0, 0, 0, 0, 0, 0, 11, 0, 0, 41, 6, 0, 0, 0, 18, 0, 6, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 40, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 0, 13, 0, 46, 53, 0, 16, 0, 90, 0, 47, 7, 0, 0, 0, 0, 22, 0, 0, 0, 12, 9, 0, 0, 0, 0, 0, 0, 61, 0, 21, 11, 0, 0, 0, 17, 37, 0, 0, 0, 0, 0, 77, 0, 0, 0, 5, 0, 14, 0, 0, 0, 0, 0, 19, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 11, 61, 9, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 27, 0, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 76]",306.3648148148148,"[332.0, 323.0, 358.5, 276.5, 281.0, 325.0, 240.5, 298.0, 323.5, 255.0, 270.0, 315.5, 320.5, 328.5, 302.0, 351.0, 282.5, 313.0, 307.0, 289.5, 317.5, 294.5, 304.0, 292.5, 324.5, 327.0, 343.5, 319.0, 294.5, 276.5, 295.5, 270.5, 315.5, 308.0, 329.5, 288.0, 283.5, 305.5, 288.0, 285.5, 317.0, 297.0, 265.0, 339.5, 313.0, 277.0, 346.0, 334.5, 300.5, 310.0, 292.0, 328.0, 286.5, 302.5, 333.0, 317.0, 326.5, 286.0, 272.0, 330.5, 273.0, 310.5, 319.0, 261.0, 299.0, 307.0, 313.5, 302.5, 325.0, 292.0, 323.0, 344.5, 284.0, 313.5, 315.5, 294.0, 285.5, 306.0, 350.0, 326.0, 337.0, 332.0, 292.5, 260.0, 328.5, 270.0, 285.5, 332.5, 295.0, 333.0, 283.5, 264.0, 325.0, 277.0, 288.5, 331.0, 295.0, 315.0, 297.5, 314.5, 297.5, 294.0, 308.5, 302.5, 329.5, 325.5, 326.0, 332.5, 319.5, 330.5, 306.0, 289.0, 281.5, 271.5, 292.5, 266.5, 292.5, 355.5, 307.5, 268.0, 289.5, 326.0, 315.5, 317.0, 342.0, 297.5, 306.0, 250.5, 273.5, 289.0, 304.0, 322.0, 298.5, 302.5, 230.5, 336.5, 351.0, 329.5, 320.5, 318.0, 339.0, 283.0, 269.0, 283.5, 316.5, 335.0, 295.5, 320.5, 289.0, 322.0, 282.5, 287.0, 288.0, 341.5, 296.5, 285.5, 273.5, 313.0, 281.5, 316.0, 272.5, 286.5, 292.5, 358.5, 337.5, 301.5, 290.0, 270.5, 302.5, 328.0, 280.5, 340.0, 246.5, 362.0, 351.5, 337.0, 310.0, 268.5, 277.5, 343.0, 328.0, 353.0, 256.0, 278.5, 331.0, 322.0, 281.0, 323.0, 299.5, 313.0, 341.0, 294.0, 300.5, 318.5, 322.5, 258.0, 318.0, 352.5, 256.5, 322.0, 300.0, 338.0, 268.5, 371.5, 294.5, 297.0, 295.5, 330.0, 281.0, 358.0, 292.0, 264.5, 346.0, 337.5, 311.0, 296.0, 311.0, 294.5, 320.0, 331.0, 307.0, 292.5, 262.5, 314.0, 279.0, 358.0, 341.0, 295.5, 286.0, 265.0, 322.0, 268.5, 309.5, 289.0, 310.0, 289.0, 292.5, 306.5, 286.5, 300.5, 308.5, 363.5, 329.0, 334.0, 307.5, 282.0, 316.0, 326.5, 348.5, 324.0, 334.0, 281.0, 296.0, 337.5, 303.5, 337.0, 327.0, 304.5, 308.0, 275.0, 287.5, 349.0, 287.5, 292.0, 348.5, 314.0, 285.0, 272.0, 312.0, 326.5]"
