Seat Allocation,Deboarding Strategy,Total Missed Pax,List Missed Pax,Average Deboarding Time,List Deboarding Time
RANDOM_SEAT_ALLOCATION,COURTESY_DEBOARDING_RULE_DEBOARDING,1821,"[0, 0, 0, 18, 0, 0, 0, 0, 10, 0, 0, 0, 0, 36, 0, 0, 29, 0, 0, 0, 22, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 27, 0, 10, 0, 0, 0, 30, 11, 0, 34, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 31, 0, 0, 0, 14, 0, 62, 0, 28, 0, 0, 4, 0, 39, 0, 32, 0, 0, 0, 24, 0, 0, 19, 12, 0, 0, 0, 0, 0, 0, 11, 0, 0, 41, 6, 0, 0, 0, 18, 0, 6, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 58, 0, 0, 0, 0, 0, 40, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 0, 13, 0, 46, 53, 0, 16, 0, 90, 0, 47, 7, 0, 0, 0, 0, 22, 0, 0, 0, 12, 9, 0, 0, 0, 0, 0, 0, 61, 0, 21, 21, 0, 0, 2, 27, 37, 0, 0, 0, 0, 0, 77, 0, 0, 0, 5, 0, 18, 0, 0, 0, 0, 0, 19, 0, 0, 0, 37, 4, 0, 0, 0, 0, 0, 0, 11, 71, 9, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 10, 0, 27, 1, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 76]",554.1888888888889,"[689.0, 730.5, 792.0, 519.0, 477.0, 737.5, 284.5, 464.0, 631.5, 377.0, 400.5, 682.5, 638.0, 689.0, 442.0, 729.5, 454.5, 457.5, 593.5, 538.5, 509.0, 513.5, 532.0, 561.0, 666.0, 755.5, 804.5, 545.0, 562.0, 377.5, 441.0, 464.0, 561.5, 619.0, 734.0, 550.0, 522.0, 570.0, 376.5, 517.0, 604.0, 534.5, 341.0, 660.0, 576.0, 433.5, 571.5, 613.5, 551.0, 523.5, 551.5, 649.0, 493.0, 508.5, 687.5, 700.5, 733.5, 470.5, 465.5, 731.0, 350.0, 559.5, 559.0, 406.5, 469.5, 561.5, 641.0, 487.5, 676.5, 443.5, 686.0, 705.5, 583.5, 608.5, 508.5, 443.0, 501.5, 517.0, 742.5, 576.5, 717.5, 658.0, 467.5, 376.0, 659.0, 369.0, 397.5, 682.0, 481.0, 570.5, 404.0, 355.5, 754.0, 348.5, 452.0, 597.5, 551.0, 645.5, 561.5, 561.0, 587.0, 514.0, 554.0, 493.0, 667.0, 508.0, 526.0, 660.0, 531.0, 809.5, 562.5, 501.5, 404.0, 393.5, 546.5, 405.0, 533.0, 747.5, 537.5, 418.0, 511.0, 630.5, 612.5, 620.0, 709.0, 565.0, 591.5, 368.5, 396.0, 519.5, 513.5, 679.0, 519.5, 494.0, 228.0, 604.5, 716.0, 538.0, 654.5, 604.0, 656.5, 480.5, 354.0, 462.0, 612.5, 634.0, 512.5, 617.5, 459.0, 536.0, 367.0, 463.0, 502.5, 588.5, 477.0, 436.5, 362.5, 656.0, 447.5, 579.5, 348.0, 404.0, 537.5, 820.0, 777.0, 512.5, 447.5, 382.0, 506.5, 579.5, 462.0, 587.5, 386.0, 771.0, 649.0, 630.5, 553.0, 441.5, 458.5, 822.0, 662.5, 801.5, 347.5, 458.5, 731.5, 660.0, 403.0, 619.0, 531.0, 476.0, 733.0, 505.0, 530.0, 609.0, 636.5, 355.5, 692.0, 758.0, 374.0, 619.0, 648.0, 701.5, 447.5, 775.5, 477.0, 544.5, 535.0, 773.0, 484.5, 727.5, 512.5, 403.5, 731.5, 754.5, 506.0, 587.0, 507.0, 555.5, 565.5, 592.5, 561.0, 471.5, 439.0, 583.0, 443.0, 712.5, 704.0, 469.0, 554.0, 316.0, 568.0, 344.0, 698.0, 457.0, 459.5, 416.0, 592.0, 565.0, 353.5, 460.5, 669.0, 865.0, 768.5, 613.0, 528.5, 391.0, 568.0, 532.5, 649.0, 599.0, 649.0, 406.5, 587.0, 627.5, 416.0, 605.5, 740.5, 618.0, 505.5, 554.0, 430.0, 658.5, 449.0, 506.5, 713.5, 550.0, 423.5, 380.0, 613.0, 719.5]"
RANDOM_SEAT_ALLOCATION,AISLE_PRIORITY_DEBOARDING_RULE,1752,"[0, 0, 0, 15, 0, 0, 0, 0, 10, 0, 0, 0, 0, 36, 0, 0, 29, 0, 0, 0, 21, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 27, 0, 10, 0, 0, 0, 27, 0, 0, 31, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 29, 0, 0, 0, 14, 0, 62, 0, 24, 0, 0, 0, 0, 39, 0, 32, 0, 0, 0, 24, 0, 0, 19, 12, 0, 0, 0, 0, 0, 0, 11, 0, 0, 41, 6, 0, 0, 0, 18, 0, 6, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 40, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 0, 13, 0, 46, 53, 0, 16, 0, 90, 0, 47, 7, 0, 0, 0, 0, 22, 0, 0, 0, 12, 9, 0, 0, 0, 0, 0, 0, 61, 0, 21, 12, 0, 0, 0, 17, 37, 0, 0, 0, 0, 0, 77, 0, 0, 0, 5, 0, 19, 0, 0, 0, 0, 0, 19, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 11, 63, 9, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 27, 0, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 76]",306.47592592592594,"[332.5, 333.5, 364.0, 299.5, 297.5, 331.0, 232.5, 288.0, 322.5, 298.0, 269.5, 326.0, 314.0, 331.5, 286.0, 352.0, 275.0, 296.5, 332.5, 298.5, 297.5, 277.5, 291.5, 320.5, 330.5, 334.0, 359.0, 299.0, 320.0, 272.5, 294.0, 289.5, 327.0, 314.5, 331.5, 298.5, 290.5, 330.5, 277.0, 311.0, 320.5, 295.0, 260.5, 335.0, 292.0, 276.0, 320.5, 320.0, 309.5, 304.0, 298.5, 347.5, 311.5, 284.5, 336.5, 330.5, 341.0, 285.5, 275.0, 350.5, 266.5, 301.0, 312.0, 278.5, 294.5, 312.0, 312.0, 286.5, 331.0, 282.5, 342.0, 344.5, 325.0, 338.0, 325.5, 296.5, 287.0, 293.0, 342.5, 313.5, 321.0, 331.5, 296.0, 258.0, 311.0, 269.5, 285.5, 343.5, 303.0, 301.0, 298.5, 265.5, 333.5, 256.0, 303.5, 318.0, 293.0, 309.5, 313.0, 297.0, 308.5, 300.5, 290.5, 295.5, 323.0, 303.0, 306.0, 316.5, 309.5, 349.5, 305.0, 307.0, 266.5, 283.0, 307.5, 262.0, 295.5, 326.0, 310.5, 270.0, 299.5, 346.5, 305.0, 314.0, 337.5, 318.5, 329.0, 272.0, 267.0, 296.5, 280.0, 340.0, 290.5, 287.0, 228.5, 324.5, 336.5, 312.5, 316.0, 325.5, 336.0, 286.0, 272.5, 286.5, 321.0, 349.5, 300.0, 341.5, 275.5, 304.0, 272.0, 286.0, 290.5, 326.5, 284.5, 300.5, 272.0, 319.5, 277.5, 306.5, 266.0, 276.0, 290.5, 348.5, 345.5, 310.0, 298.0, 272.5, 296.5, 308.5, 294.0, 314.5, 274.5, 360.5, 345.5, 338.5, 305.5, 273.0, 285.0, 349.5, 330.0, 364.5, 261.5, 275.0, 326.0, 328.0, 283.5, 325.0, 313.5, 301.0, 327.5, 310.0, 308.5, 316.5, 316.5, 265.5, 332.5, 352.5, 255.5, 324.0, 317.0, 344.5, 259.0, 354.5, 279.5, 291.0, 315.0, 330.5, 288.0, 351.0, 301.0, 277.0, 350.0, 331.0, 303.0, 314.0, 293.0, 307.5, 297.5, 320.5, 308.5, 275.5, 284.5, 310.5, 277.0, 334.0, 350.0, 288.0, 305.0, 263.0, 306.0, 266.0, 331.0, 272.5, 279.0, 289.5, 308.0, 303.5, 257.0, 282.0, 332.5, 354.5, 353.0, 332.5, 296.5, 268.5, 315.5, 294.0, 335.5, 295.0, 346.5, 265.0, 312.0, 336.0, 282.5, 341.5, 332.0, 308.0, 291.5, 292.5, 295.0, 334.0, 282.0, 297.0, 335.5, 325.5, 277.5, 267.5, 339.5, 323.5]"
CONNECTING_PAX_PRIORITY_SEAT_ALLOCATION,COURTESY_DEBOARDING_RULE_DEBOARDING,1779,"[0, 0, 0, 16, 0, 0, 0, 0, 10, 0, 0, 0, 0, 36, 0, 0, 29, 0, 0, 0, 23, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 27, 0, 10, 0, 0, 0, 29, 4, 0, 34, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 31, 0, 0, 0, 14, 0, 62, 0, 26, 0, 0, 0, 0, 39, 0, 32, 0, 0, 0, 24, 0, 0, 19, 12, 0, 0, 0, 0, 0, 0, 11, 0, 0, 41, 6, 0, 0, 0, 18, 0, 6, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 58, 0, 0, 0, 0, 0, 40, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 0, 13, 0, 46, 53, 0, 16, 0, 90, 0, 47, 7, 0, 0, 0, 0, 22, 0, 0, 0, 12, 9, 0, 0, 0, 0, 0, 0, 61, 0, 21, 13, 0, 0, 0, 18, 37, 0, 0, 0, 0, 0, 77, 0, 0, 0, 5, 0, 17, 0, 0, 0, 0, 0, 19, 0, 0, 0, 37, 1, 0, 0, 0, 0, 0, 0, 11, 72, 9, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 27, 0, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 76]",554.9981481481482,"[638.0, 683.0, 827.0, 533.5, 479.5, 732.5, 289.0, 519.0, 551.5, 388.5, 373.5, 588.5, 586.0, 644.0, 419.5, 802.0, 481.5, 424.5, 632.5, 570.5, 570.5, 486.5, 481.5, 543.5, 656.5, 752.0, 805.0, 568.5, 549.0, 367.5, 417.5, 468.0, 526.5, 581.0, 726.0, 514.5, 490.5, 589.5, 397.5, 520.5, 626.0, 536.5, 313.5, 661.0, 546.5, 401.0, 656.5, 659.0, 542.5, 566.5, 544.5, 654.0, 542.0, 519.5, 768.5, 706.0, 723.5, 467.0, 485.0, 719.5, 339.5, 552.5, 570.0, 394.0, 489.0, 584.5, 665.5, 500.5, 670.0, 439.5, 668.5, 661.5, 580.0, 651.5, 512.5, 497.5, 564.0, 530.5, 801.5, 646.0, 641.0, 626.5, 481.5, 398.0, 688.5, 407.0, 427.5, 680.5, 448.5, 557.5, 458.5, 352.0, 726.0, 337.0, 503.5, 651.0, 546.5, 604.5, 598.5, 555.5, 634.5, 499.5, 559.5, 535.0, 575.5, 486.0, 552.5, 654.5, 502.5, 788.5, 528.5, 539.0, 427.5, 407.0, 548.0, 324.0, 503.0, 715.0, 563.0, 422.5, 487.5, 554.5, 557.0, 707.0, 678.0, 566.0, 585.0, 352.5, 407.5, 519.0, 502.0, 696.5, 512.0, 470.0, 219.5, 641.5, 718.5, 587.5, 647.0, 637.5, 682.0, 455.0, 397.5, 545.5, 614.5, 600.0, 492.5, 689.0, 402.0, 542.5, 395.0, 487.5, 532.5, 587.5, 443.5, 436.0, 332.5, 534.5, 440.5, 567.5, 352.5, 364.0, 527.5, 718.0, 700.0, 581.0, 428.0, 389.5, 426.0, 572.5, 454.5, 576.5, 379.0, 759.0, 757.0, 674.0, 534.5, 423.0, 521.0, 777.0, 644.0, 806.5, 380.5, 446.0, 689.5, 646.0, 421.5, 656.0, 582.5, 537.5, 715.0, 516.0, 547.0, 641.5, 704.5, 410.0, 682.0, 740.5, 319.0, 660.0, 612.5, 667.0, 381.5, 747.5, 449.5, 538.5, 501.0, 723.5, 429.5, 769.5, 538.0, 404.5, 723.5, 834.0, 458.0, 580.0, 509.0, 515.5, 571.5, 573.0, 588.5, 481.0, 432.5, 566.5, 428.0, 772.5, 728.5, 429.0, 521.0, 337.5, 568.0, 390.0, 691.0, 444.5, 419.0, 416.5, 550.0, 613.5, 338.5, 456.0, 654.0, 831.5, 786.0, 696.0, 515.5, 424.5, 587.0, 608.0, 657.0, 501.5, 696.0, 423.0, 625.5, 690.0, 394.5, 635.5, 675.0, 634.5, 491.0, 513.5, 451.0, 708.5, 414.0, 526.5, 731.5, 627.0, 386.5, 415.5, 643.0, 736.0]"
CONNECTING_PAX_PRIORITY_SEAT_ALLOCATION,AISLE_PRIORITY_DEBOARDING_RULE,1744,"[0, 0, 0, 15, 0, 0, 0, 0, 10, 0, 0, 0, 0, 36, 0, 0, 29, 0, 0, 0, 19, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 27, 0, 10, 0, 0, 0, 27, 0, 0, 31, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 29, 0, 0, 0, 14, 0, 62, 0, 24, 0, 0, 0, 0, 39, 0, 32, 0, 0, 0, 24, 0, 0, 19, 12, 0, 0, 0, 0, 0, 0, 11, 0, 0, 41, 6, 0, 0, 0, 18, 0, 6, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 40, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 0, 13, 0, 46, 53, 0, 16, 0, 90, 0, 47, 7, 0, 0, 0, 0, 22, 0, 0, 0, 12, 9, 0, 0, 0, 0, 0, 0, 61, 0, 21, 12, 0, 0, 0, 17, 37, 0, 0, 0, 0, 0, 77, 0, 0, 0, 5, 0, 17, 0, 0, 0, 0, 0, 19, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 11, 59, 9, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 9, 0, 27, 0, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 76]",306.3259259259259,"[353.0, 344.0, 363.0, 299.5, 308.5, 322.5, 247.0, 292.5, 312.0, 287.0, 278.5, 311.0, 322.0, 342.0, 303.0, 347.5, 293.5, 291.0, 327.0, 297.5, 307.5, 284.5, 301.5, 339.0, 324.5, 341.0, 352.5, 303.0, 314.5, 268.0, 294.0, 292.5, 313.5, 317.5, 323.5, 311.0, 281.5, 336.0, 269.0, 300.5, 316.0, 289.5, 271.5, 317.5, 288.5, 290.0, 330.5, 328.0, 304.0, 293.5, 311.0, 348.5, 291.5, 295.5, 334.5, 326.5, 349.0, 296.0, 278.0, 343.0, 261.0, 302.0, 311.5, 276.5, 299.0, 322.5, 326.5, 298.5, 327.5, 282.0, 342.0, 329.5, 299.5, 329.5, 316.0, 296.0, 296.0, 285.0, 341.0, 320.0, 320.0, 323.5, 293.0, 278.0, 325.5, 272.0, 275.5, 341.0, 284.5, 294.0, 300.0, 262.5, 342.0, 275.5, 297.5, 313.5, 303.5, 308.0, 317.5, 301.5, 315.5, 296.0, 299.0, 300.5, 305.5, 290.0, 308.0, 315.0, 313.0, 342.5, 315.0, 290.0, 265.5, 278.0, 295.5, 259.5, 307.5, 327.0, 316.5, 266.5, 293.5, 321.5, 306.5, 319.5, 347.0, 303.5, 327.0, 269.0, 273.5, 297.5, 292.5, 328.0, 302.0, 298.0, 234.0, 317.5, 331.0, 302.5, 309.5, 331.0, 341.5, 284.5, 272.5, 285.0, 318.5, 338.0, 306.0, 346.0, 276.5, 308.0, 272.0, 294.5, 294.0, 331.0, 300.0, 294.0, 269.0, 291.5, 279.5, 323.0, 270.5, 274.0, 299.5, 352.5, 340.0, 314.0, 288.5, 260.5, 291.0, 306.0, 284.0, 324.5, 278.5, 345.0, 344.0, 327.5, 307.5, 268.5, 275.0, 353.5, 329.0, 348.5, 265.0, 284.0, 351.5, 320.0, 278.5, 323.5, 304.0, 306.0, 329.0, 302.5, 296.0, 331.0, 329.5, 264.5, 325.0, 352.0, 252.5, 319.0, 321.0, 337.0, 262.5, 354.0, 284.5, 284.5, 306.0, 344.5, 287.0, 328.5, 291.5, 265.0, 328.0, 341.5, 295.5, 296.5, 305.0, 312.0, 297.0, 338.0, 303.0, 291.5, 277.0, 325.5, 271.0, 328.5, 354.0, 295.5, 292.5, 264.5, 298.5, 261.5, 341.5, 267.5, 273.5, 291.0, 306.5, 307.0, 270.0, 283.0, 321.5, 362.0, 341.0, 336.0, 294.0, 273.5, 318.0, 298.5, 342.0, 306.0, 332.5, 259.5, 316.0, 341.0, 288.5, 336.0, 338.0, 301.5, 298.0, 287.5, 283.0, 334.5, 274.5, 306.5, 353.5, 307.0, 272.0, 265.5, 347.5, 330.0]"
