Seat Allocation,Deboarding Strategy,Total Missed Pax,List Missed Pax,Average Deboarding Time,List Deboarding Time
RANDOM_SEAT_ALLOCATION,COURTESY_DEBOARDING_RULE_DEBOARDING,1987,"[14, 0, 15, 7, 0, 0, 3, 0, 4, 0, 3, 0, 3, 0, 0, 0, 11, 0, 0, 0, 9, 6, 7, 0, 0, 0, 0, 0, 0, 0, 7, 1, 46, 16, 8, 15, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 0, 7, 0, 0, 0, 21, 0, 0, 19, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 2, 0, 0, 42, 0, 0, 4, 39, 0, 25, 10, 30, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 40, 0, 0, 0, 0, 14, 0, 8, 0, 7, 44, 0, 0, 13, 0, 45, 27, 0, 54, 0, 0, 0, 0, 0, 0, 23, 0, 10, 43, 42, 0, 0, 0, 6, 0, 7, 57, 25, 0, 5, 0, 66, 5, 7, 13, 11, 31, 40, 0, 6, 0, 10, 0, 11, 19, 2, 0, 0, 0, 9, 0, 8, 0, 0, 0, 63, 0, 0, 0, 25, 0, 0, 19, 0, 0, 0, 22, 0, 78, 0, 27, 2, 0, 12, 13, 0, 0, 0, 38, 0, 0, 0, 22, 0, 4, 11, 0, 2, 18, 0, 0, 0, 0, 10, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 55, 0, 2, 32, 0, 1, 8, 14, 0, 10, 0, 4, 40, 0, 3, 20, 4, 7, 11, 0, 1, 0, 12, 0, 0, 20, 0, 4, 0, 0, 0, 16, 0, 0, 6, 0, 0, 6, 30, 5, 9, 0, 0, 4, 0, 4, 11, 8]",565.5863970588235,"[747.0, 504.5, 510.0, 698.5, 487.5, 432.5, 670.0, 423.0, 409.5, 231.5, 389.5, 571.5, 554.5, 643.0, 717.0, 577.0, 576.5, 668.5, 584.0, 486.0, 795.5, 567.0, 383.5, 475.0, 277.0, 624.0, 346.5, 637.5, 621.0, 380.0, 630.5, 535.5, 603.0, 553.5, 723.0, 597.5, 573.0, 438.0, 363.5, 339.0, 724.0, 720.5, 812.0, 549.0, 419.0, 775.5, 722.5, 596.0, 519.5, 680.0, 850.5, 712.0, 380.0, 423.5, 445.0, 472.0, 618.5, 563.0, 613.0, 748.0, 536.5, 482.5, 422.5, 513.0, 483.0, 741.0, 773.0, 382.5, 592.0, 558.0, 582.5, 747.5, 430.5, 629.0, 560.0, 645.5, 731.5, 407.0, 576.5, 459.0, 629.0, 669.5, 478.5, 615.5, 642.0, 541.5, 679.0, 612.5, 539.5, 517.5, 747.0, 774.0, 615.5, 606.0, 342.5, 534.5, 512.5, 317.0, 766.0, 605.0, 536.0, 670.0, 596.5, 393.5, 457.5, 261.0, 564.5, 860.5, 754.0, 759.5, 805.5, 501.0, 390.0, 408.5, 552.0, 651.5, 502.5, 643.5, 619.5, 722.0, 475.5, 293.5, 375.0, 687.0, 499.5, 590.0, 706.5, 613.0, 632.0, 362.0, 758.5, 761.5, 365.5, 356.0, 616.5, 584.5, 654.5, 496.0, 767.5, 693.5, 366.0, 373.0, 645.0, 664.5, 459.5, 686.5, 708.5, 637.0, 506.5, 316.5, 634.5, 582.5, 359.5, 803.5, 597.0, 786.5, 523.5, 358.5, 571.5, 285.5, 540.5, 525.0, 654.5, 711.0, 717.0, 678.0, 699.5, 688.0, 777.0, 386.0, 598.0, 585.0, 397.0, 453.0, 528.0, 548.5, 579.5, 459.0, 634.5, 532.5, 750.0, 738.5, 468.5, 554.0, 523.0, 594.0, 591.5, 633.5, 417.5, 520.5, 475.0, 364.0, 754.5, 769.5, 515.0, 648.0, 404.0, 477.0, 617.5, 574.5, 427.0, 620.0, 608.0, 642.0, 410.5, 770.0, 693.0, 313.0, 775.5, 833.5, 649.5, 781.0, 506.5, 564.0, 251.5, 692.0, 323.0, 712.5, 700.0, 488.0, 653.0, 555.5, 597.5, 645.5, 532.5, 337.5, 462.0, 527.0, 641.5, 613.5, 527.5, 543.5, 648.5, 785.5, 717.5, 541.5, 731.5, 544.0, 385.5, 573.0, 499.0, 513.5, 547.0, 580.0, 183.5, 493.0, 796.0, 412.0, 540.0, 611.0, 406.5, 656.0, 510.5, 437.0, 482.0, 630.0, 514.5, 651.5, 416.5, 350.0, 497.0, 698.5, 544.0, 438.0, 477.5, 421.0, 616.5, 747.5, 521.0, 631.0, 613.0, 511.0]"
RANDOM_SEAT_ALLOCATION,AISLE_PRIORITY_DEBOARDING_RULE,1712,"[14, 0, 15, 3, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 11, 0, 0, 0, 9, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 16, 5, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 0, 2, 0, 0, 0, 21, 0, 0, 19, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 2, 0, 0, 42, 0, 0, 4, 39, 0, 25, 2, 30, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 0, 8, 0, 0, 44, 0, 0, 13, 0, 45, 27, 0, 52, 0, 0, 0, 0, 0, 0, 23, 0, 10, 41, 42, 0, 0, 0, 6, 0, 7, 57, 16, 0, 0, 0, 66, 5, 0, 0, 11, 22, 40, 0, 6, 0, 0, 0, 8, 11, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 25, 0, 0, 13, 0, 0, 0, 22, 0, 78, 0, 23, 0, 0, 9, 13, 0, 0, 0, 38, 0, 0, 0, 21, 0, 0, 3, 0, 0, 18, 0, 0, 0, 0, 9, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 55, 0, 0, 32, 0, 0, 8, 14, 0, 10, 0, 0, 30, 0, 0, 20, 0, 7, 11, 0, 1, 0, 12, 0, 0, 19, 0, 0, 0, 0, 0, 16, 0, 0, 6, 0, 0, 6, 30, 5, 9, 0, 0, 0, 0, 0, 3, 8]",307.02941176470586,"[349.5, 300.0, 297.0, 334.5, 289.0, 277.5, 328.0, 270.5, 280.5, 224.5, 263.5, 314.0, 314.0, 320.5, 333.5, 323.5, 320.0, 334.5, 305.0, 292.0, 345.5, 316.5, 270.0, 288.5, 239.0, 346.0, 268.5, 332.0, 295.0, 269.5, 344.0, 309.0, 312.0, 299.0, 342.5, 328.5, 300.0, 282.0, 272.0, 249.5, 338.0, 341.0, 345.0, 295.5, 283.0, 356.5, 356.5, 307.5, 299.5, 333.5, 353.0, 342.5, 278.0, 285.5, 289.0, 279.5, 320.5, 314.5, 304.5, 345.0, 315.5, 277.0, 281.0, 290.5, 310.5, 353.0, 324.5, 273.0, 310.0, 319.0, 291.0, 325.0, 271.0, 311.5, 313.5, 331.0, 336.0, 287.0, 306.5, 292.0, 316.0, 321.5, 291.0, 325.0, 321.5, 300.0, 337.0, 300.0, 320.0, 313.0, 333.0, 336.5, 313.5, 314.0, 252.0, 306.0, 301.0, 241.5, 335.0, 305.0, 306.0, 315.5, 313.0, 269.0, 281.5, 237.5, 326.5, 355.5, 357.0, 339.0, 369.5, 307.5, 277.0, 289.0, 295.5, 341.5, 297.5, 328.0, 351.0, 330.5, 301.0, 253.5, 268.5, 335.0, 292.5, 309.0, 341.5, 333.0, 302.5, 242.5, 346.0, 328.0, 260.5, 275.5, 313.0, 327.0, 336.0, 289.0, 352.5, 325.0, 258.5, 259.5, 331.5, 307.0, 296.0, 319.5, 337.5, 331.0, 309.0, 271.5, 341.5, 297.0, 261.0, 355.0, 312.0, 345.0, 322.0, 265.5, 299.0, 259.5, 301.5, 293.0, 324.5, 340.5, 331.0, 353.5, 319.5, 320.0, 350.0, 260.5, 328.0, 311.0, 259.5, 284.5, 317.5, 297.5, 297.0, 290.5, 300.5, 295.0, 346.0, 342.5, 292.0, 307.0, 308.5, 308.5, 327.0, 348.0, 281.0, 294.0, 308.5, 261.5, 344.0, 325.5, 310.5, 325.5, 272.0, 286.5, 330.0, 327.0, 280.0, 298.0, 305.5, 311.5, 272.5, 330.5, 336.0, 261.0, 347.0, 363.0, 317.5, 348.5, 294.5, 288.5, 228.0, 346.0, 247.0, 343.5, 338.0, 295.0, 341.5, 303.0, 302.0, 311.5, 285.0, 263.0, 276.5, 293.5, 316.0, 320.0, 300.0, 322.5, 322.0, 351.0, 360.0, 306.5, 343.5, 317.5, 256.0, 296.5, 299.0, 297.5, 300.0, 320.5, 183.0, 284.5, 341.5, 273.0, 298.0, 305.0, 261.0, 324.5, 305.5, 294.0, 291.5, 307.5, 299.5, 327.5, 272.5, 267.0, 289.0, 336.5, 312.5, 276.0, 284.5, 271.5, 298.0, 350.5, 307.5, 314.0, 306.0, 307.0]"
CONNECTING_PAX_PRIORITY_SEAT_ALLOCATION,COURTESY_DEBOARDING_RULE_DEBOARDING,1740,"[14, 0, 15, 3, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 11, 0, 0, 0, 9, 2, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 16, 5, 15, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 0, 2, 0, 0, 0, 21, 0, 0, 19, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 2, 0, 0, 42, 0, 0, 4, 39, 0, 25, 2, 30, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 5, 0, 0, 0, 0, 7, 0, 8, 0, 2, 44, 0, 0, 13, 0, 45, 27, 0, 57, 0, 0, 0, 0, 0, 0, 23, 0, 10, 43, 42, 0, 0, 0, 6, 0, 7, 57, 14, 0, 1, 0, 66, 5, 1, 4, 11, 22, 40, 0, 6, 0, 0, 0, 8, 12, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 63, 0, 0, 0, 25, 0, 0, 13, 0, 0, 0, 22, 0, 78, 0, 24, 1, 0, 9, 13, 0, 0, 0, 38, 0, 0, 0, 23, 0, 0, 5, 0, 0, 18, 0, 0, 0, 0, 9, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 55, 0, 0, 32, 0, 0, 8, 14, 0, 10, 0, 0, 28, 0, 0, 20, 0, 7, 11, 0, 1, 0, 12, 0, 0, 19, 0, 0, 0, 0, 0, 16, 0, 0, 6, 0, 0, 6, 30, 5, 9, 0, 0, 0, 0, 1, 3, 8]",563.5882352941177,"[711.5, 532.5, 504.0, 706.0, 459.0, 438.5, 745.5, 423.5, 380.5, 252.5, 387.5, 617.5, 545.0, 688.5, 764.0, 601.5, 604.0, 641.0, 573.0, 528.0, 804.0, 610.5, 379.5, 456.0, 271.5, 675.5, 340.0, 580.0, 603.5, 362.5, 577.5, 553.5, 612.5, 556.5, 723.5, 605.0, 587.0, 447.5, 383.5, 357.5, 756.5, 726.0, 766.0, 507.5, 399.5, 835.5, 709.0, 610.5, 536.0, 642.0, 828.5, 753.0, 389.0, 414.5, 462.5, 498.5, 633.0, 560.0, 627.0, 686.0, 574.5, 489.5, 367.0, 520.5, 564.5, 748.5, 755.5, 430.0, 608.5, 572.0, 608.0, 752.5, 411.5, 618.5, 553.5, 711.5, 709.5, 423.5, 531.0, 500.0, 626.5, 591.0, 474.5, 597.5, 592.5, 583.5, 712.5, 594.5, 663.5, 507.5, 745.5, 673.0, 538.0, 613.5, 384.5, 526.0, 532.5, 362.0, 745.0, 587.0, 558.0, 671.0, 619.5, 430.5, 467.0, 274.5, 553.5, 807.5, 776.5, 700.5, 814.0, 520.5, 426.0, 406.0, 550.0, 602.5, 489.0, 671.5, 686.0, 711.5, 441.5, 310.0, 355.0, 734.5, 510.0, 591.0, 690.0, 640.0, 641.0, 320.0, 761.5, 702.0, 352.5, 455.0, 529.5, 596.5, 642.0, 467.0, 665.0, 634.5, 355.5, 388.0, 625.5, 637.5, 471.0, 652.0, 692.0, 659.5, 520.0, 326.5, 596.5, 590.5, 352.5, 801.5, 582.5, 844.0, 531.5, 327.5, 561.0, 292.5, 544.5, 531.0, 570.0, 770.5, 705.0, 619.5, 638.5, 712.5, 760.0, 349.5, 644.5, 595.0, 422.0, 441.5, 599.5, 499.5, 534.5, 458.0, 588.0, 556.5, 758.5, 687.5, 463.0, 569.5, 612.5, 563.5, 573.0, 645.5, 407.0, 534.0, 541.5, 350.5, 750.0, 810.5, 541.5, 601.0, 358.0, 482.5, 657.5, 683.0, 415.5, 539.0, 516.0, 550.0, 400.5, 705.0, 710.0, 332.0, 771.5, 765.5, 641.0, 734.5, 453.5, 534.0, 245.0, 698.0, 310.0, 724.5, 734.0, 477.5, 667.5, 541.5, 631.5, 563.5, 540.5, 355.5, 471.5, 503.5, 594.0, 594.5, 488.5, 496.0, 644.5, 847.5, 784.0, 559.5, 733.0, 536.0, 363.0, 579.0, 475.5, 504.5, 449.5, 570.5, 183.0, 473.0, 782.0, 329.0, 541.5, 620.5, 398.5, 688.0, 492.0, 499.0, 474.5, 595.5, 496.5, 617.0, 409.0, 344.5, 514.0, 641.0, 556.0, 470.0, 508.5, 413.0, 615.0, 738.0, 582.0, 670.0, 609.5, 541.0]"
CONNECTING_PAX_PRIORITY_SEAT_ALLOCATION,AISLE_PRIORITY_DEBOARDING_RULE,1691,"[14, 0, 15, 3, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 11, 0, 0, 0, 9, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 16, 5, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 0, 0, 0, 0, 0, 21, 0, 0, 19, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 2, 0, 0, 42, 0, 0, 4, 39, 0, 25, 0, 30, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 0, 8, 0, 0, 44, 0, 0, 13, 0, 45, 27, 0, 48, 0, 0, 0, 0, 0, 0, 23, 0, 10, 39, 42, 0, 0, 0, 6, 0, 7, 57, 15, 0, 0, 0, 66, 5, 0, 0, 11, 22, 40, 0, 6, 0, 0, 0, 8, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 25, 0, 0, 14, 0, 0, 0, 22, 0, 78, 0, 23, 0, 0, 9, 13, 0, 0, 0, 38, 0, 0, 0, 21, 0, 0, 3, 0, 0, 18, 0, 0, 0, 0, 9, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 55, 0, 0, 32, 0, 0, 8, 14, 0, 10, 0, 0, 26, 0, 0, 20, 0, 7, 11, 0, 1, 0, 12, 0, 0, 19, 0, 0, 0, 0, 0, 16, 0, 0, 6, 0, 0, 6, 30, 5, 9, 0, 0, 0, 0, 0, 0, 8]",308.37132352941177,"[344.5, 306.5, 297.5, 345.0, 293.0, 296.5, 349.0, 267.0, 297.5, 221.5, 272.0, 313.5, 314.0, 330.5, 361.5, 326.5, 321.0, 337.0, 303.5, 294.0, 345.0, 312.0, 278.0, 293.5, 237.0, 339.5, 267.5, 315.0, 304.0, 260.0, 321.0, 329.0, 338.0, 303.5, 350.5, 329.5, 296.0, 281.0, 270.0, 237.0, 342.0, 329.0, 346.0, 304.0, 273.0, 360.5, 358.0, 313.5, 302.0, 348.5, 367.5, 324.5, 266.5, 285.0, 282.5, 282.0, 323.0, 309.5, 321.0, 358.5, 313.0, 292.0, 269.0, 298.5, 305.5, 349.5, 325.0, 269.0, 303.0, 313.5, 297.5, 344.5, 266.5, 319.5, 322.5, 345.5, 343.5, 280.0, 317.5, 287.0, 318.5, 339.5, 290.5, 314.0, 315.0, 309.0, 340.5, 307.0, 331.5, 303.0, 340.0, 330.0, 311.0, 325.0, 257.5, 319.0, 293.5, 230.5, 324.0, 320.0, 305.0, 329.0, 319.5, 280.0, 290.0, 257.5, 314.0, 362.5, 342.5, 341.0, 367.5, 309.5, 275.5, 290.5, 307.0, 336.5, 302.5, 327.5, 352.0, 332.0, 301.0, 243.0, 279.0, 357.0, 315.5, 300.0, 346.0, 320.5, 315.0, 249.0, 351.5, 345.5, 274.0, 269.5, 317.5, 323.5, 335.5, 295.5, 339.0, 321.5, 264.5, 252.0, 327.5, 297.5, 287.5, 315.0, 352.5, 331.0, 311.0, 267.5, 333.0, 304.5, 265.0, 370.5, 321.5, 341.5, 321.0, 251.0, 306.0, 258.5, 305.5, 296.0, 316.0, 335.5, 327.5, 350.0, 337.0, 317.0, 352.5, 260.0, 317.0, 313.0, 265.5, 285.0, 315.5, 312.0, 300.5, 281.0, 309.0, 293.5, 352.5, 351.5, 292.5, 320.0, 303.0, 316.0, 326.0, 334.5, 271.0, 291.0, 319.5, 255.5, 340.5, 331.5, 304.0, 302.0, 274.5, 277.5, 333.5, 339.0, 280.5, 310.5, 305.0, 316.5, 275.5, 331.5, 344.0, 253.5, 360.0, 371.5, 328.5, 346.5, 283.0, 295.5, 229.5, 339.0, 251.5, 324.0, 345.0, 287.5, 350.0, 307.5, 314.0, 303.0, 297.0, 261.5, 273.0, 303.5, 325.5, 312.5, 303.0, 323.5, 314.0, 345.0, 343.0, 308.5, 358.5, 314.5, 257.5, 293.0, 306.0, 302.0, 294.0, 308.0, 183.0, 276.5, 345.5, 271.5, 299.0, 305.5, 260.0, 320.0, 308.5, 305.0, 296.0, 310.0, 292.0, 314.5, 269.0, 266.0, 285.5, 325.0, 313.5, 276.5, 277.5, 273.5, 302.0, 328.5, 311.5, 329.5, 309.5, 306.5]"
