Seat Allocation,Deboarding Strategy,Total Missed Pax,List Missed Pax,Average Deboarding Time,List Deboarding Time
RANDOM_SEAT_ALLOCATION,COURTESY_DEBOARDING_RULE_DEBOARDING,1983,"[14, 0, 15, 6, 0, 0, 3, 0, 4, 0, 3, 0, 7, 0, 0, 0, 11, 0, 0, 0, 9, 7, 7, 0, 0, 0, 0, 0, 0, 0, 8, 1, 46, 16, 6, 20, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 0, 11, 0, 0, 0, 21, 0, 0, 19, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 2, 0, 0, 42, 0, 0, 4, 39, 0, 25, 5, 30, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 35, 0, 0, 0, 0, 8, 0, 8, 0, 7, 44, 0, 0, 13, 0, 45, 27, 0, 54, 0, 0, 0, 0, 0, 0, 23, 0, 10, 42, 42, 0, 0, 0, 6, 0, 7, 57, 25, 0, 2, 0, 66, 5, 3, 13, 11, 31, 40, 0, 6, 0, 17, 0, 8, 24, 2, 0, 0, 0, 8, 0, 11, 0, 0, 0, 63, 0, 0, 0, 25, 0, 0, 20, 0, 0, 0, 22, 0, 78, 0, 26, 2, 0, 16, 13, 0, 0, 0, 38, 0, 0, 0, 23, 0, 7, 12, 0, 1, 18, 0, 0, 0, 0, 9, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 55, 0, 1, 32, 0, 0, 8, 14, 0, 10, 0, 3, 37, 0, 3, 20, 0, 7, 11, 0, 1, 0, 12, 0, 0, 20, 0, 0, 0, 0, 0, 16, 0, 0, 7, 0, 0, 6, 30, 5, 9, 0, 0, 4, 0, 4, 11, 8]",562.4779411764706,"[752.0, 515.5, 644.0, 658.0, 475.0, 454.0, 709.5, 304.5, 331.5, 249.0, 393.0, 565.5, 715.0, 637.0, 761.0, 511.0, 667.0, 642.5, 558.5, 568.0, 774.5, 635.5, 351.5, 422.0, 371.0, 691.5, 390.0, 646.0, 589.0, 374.0, 613.0, 530.0, 627.0, 587.0, 622.0, 615.5, 587.0, 448.5, 368.5, 256.5, 763.0, 760.5, 734.0, 522.0, 474.5, 774.5, 808.0, 560.5, 617.5, 694.5, 790.0, 657.0, 384.5, 365.5, 429.5, 409.5, 596.0, 607.5, 603.0, 834.5, 537.5, 445.0, 451.5, 460.5, 565.5, 855.0, 628.0, 498.0, 613.0, 568.5, 587.0, 695.5, 523.5, 656.0, 435.0, 739.0, 761.0, 433.0, 546.0, 453.5, 629.0, 696.5, 472.5, 566.0, 639.5, 471.0, 767.0, 621.0, 703.5, 526.5, 699.5, 752.5, 610.0, 566.5, 385.0, 573.5, 559.0, 300.5, 594.5, 548.5, 485.0, 744.0, 538.0, 381.0, 462.5, 314.5, 553.0, 801.5, 729.5, 690.0, 744.5, 566.0, 426.0, 372.5, 520.0, 653.0, 597.0, 670.5, 631.5, 649.0, 533.0, 317.0, 364.0, 718.0, 517.5, 564.0, 702.0, 652.5, 599.5, 302.0, 730.5, 676.0, 391.0, 380.5, 658.5, 601.5, 580.0, 525.0, 683.0, 562.5, 366.5, 333.5, 634.0, 623.5, 437.5, 705.5, 739.5, 659.0, 495.5, 387.5, 739.5, 518.5, 341.0, 803.5, 586.0, 761.0, 568.0, 356.0, 471.0, 310.5, 560.0, 452.5, 567.5, 757.0, 650.0, 638.0, 605.5, 630.5, 759.5, 349.0, 676.5, 641.0, 379.0, 429.0, 570.5, 463.0, 526.0, 420.0, 644.5, 463.0, 689.0, 606.5, 510.0, 632.0, 614.5, 626.5, 609.0, 685.5, 435.5, 569.5, 595.0, 374.0, 742.0, 638.5, 554.0, 586.0, 385.0, 524.5, 689.0, 604.5, 361.0, 459.0, 551.0, 586.0, 470.5, 711.5, 591.0, 289.5, 871.0, 853.5, 623.0, 704.5, 431.5, 566.5, 305.5, 822.0, 290.5, 600.0, 750.5, 471.5, 813.5, 515.0, 566.0, 595.5, 531.5, 339.0, 442.5, 472.5, 591.0, 635.5, 562.5, 641.0, 690.5, 726.0, 772.5, 522.5, 828.5, 489.5, 331.0, 558.5, 454.0, 539.5, 567.5, 615.0, 183.0, 491.0, 713.0, 352.0, 666.0, 582.0, 342.0, 709.5, 513.0, 471.0, 489.5, 504.5, 496.0, 659.5, 457.5, 351.5, 461.0, 696.5, 564.0, 396.0, 461.0, 411.5, 595.0, 688.5, 532.0, 575.5, 562.5, 551.5]"
RANDOM_SEAT_ALLOCATION,AISLE_PRIORITY_DEBOARDING_RULE,1712,"[14, 0, 15, 3, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 11, 0, 0, 0, 9, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 16, 5, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 0, 3, 0, 0, 0, 21, 0, 0, 19, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 2, 0, 0, 42, 0, 0, 4, 39, 0, 25, 3, 30, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 0, 8, 0, 0, 44, 0, 0, 13, 0, 45, 27, 0, 50, 0, 0, 0, 0, 0, 0, 23, 0, 10, 41, 42, 0, 0, 0, 6, 0, 7, 57, 20, 0, 0, 0, 66, 5, 1, 0, 11, 22, 40, 0, 6, 0, 0, 0, 8, 11, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 25, 0, 0, 12, 0, 0, 0, 22, 0, 78, 0, 23, 0, 0, 9, 13, 0, 0, 0, 38, 0, 0, 0, 22, 0, 0, 3, 0, 0, 18, 0, 0, 0, 0, 9, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 55, 0, 0, 32, 0, 0, 8, 14, 0, 10, 0, 0, 29, 0, 0, 20, 0, 7, 11, 0, 1, 0, 12, 0, 0, 19, 0, 0, 0, 0, 0, 16, 0, 0, 6, 0, 0, 6, 30, 5, 9, 0, 0, 0, 0, 0, 2, 8]",307.1617647058824,"[368.5, 288.5, 333.5, 320.5, 297.0, 288.0, 327.0, 252.0, 279.5, 220.0, 271.0, 316.5, 328.5, 318.5, 345.5, 298.5, 304.5, 341.0, 303.0, 302.5, 355.0, 312.0, 259.0, 286.5, 250.0, 343.5, 248.5, 325.5, 298.5, 259.5, 321.0, 305.5, 337.0, 313.5, 349.0, 309.5, 306.0, 289.5, 274.0, 229.5, 335.5, 329.5, 338.0, 328.0, 299.5, 344.0, 332.0, 302.0, 304.5, 358.5, 367.0, 346.5, 280.5, 256.0, 280.5, 292.5, 337.5, 311.5, 307.5, 354.5, 311.5, 288.5, 266.5, 286.5, 300.0, 345.5, 326.0, 286.0, 325.5, 309.5, 323.5, 320.0, 281.0, 346.0, 307.0, 320.5, 345.0, 285.5, 309.0, 300.5, 338.0, 339.5, 300.0, 304.5, 331.0, 281.5, 347.0, 303.0, 338.5, 296.5, 329.5, 356.0, 309.0, 319.5, 263.0, 322.0, 304.5, 237.0, 317.5, 301.5, 301.0, 317.5, 289.0, 267.0, 283.0, 242.0, 295.5, 351.0, 340.0, 338.0, 351.0, 294.5, 265.5, 275.5, 298.5, 315.5, 326.5, 352.0, 346.5, 308.5, 305.0, 254.0, 277.0, 339.5, 288.5, 309.5, 344.0, 325.5, 309.5, 246.5, 335.0, 339.5, 275.5, 271.5, 320.0, 317.5, 320.5, 285.0, 338.5, 326.0, 255.0, 266.0, 337.0, 311.5, 292.5, 335.5, 313.0, 326.0, 283.0, 263.5, 337.5, 288.0, 267.0, 359.5, 301.5, 371.0, 299.5, 267.0, 301.0, 250.0, 311.5, 289.5, 324.0, 327.5, 342.5, 319.0, 318.0, 336.5, 351.5, 260.0, 331.0, 329.0, 277.0, 293.5, 303.5, 301.0, 295.5, 282.0, 330.5, 288.0, 344.5, 349.5, 311.0, 310.5, 318.5, 310.0, 317.5, 335.5, 290.0, 296.5, 304.0, 262.0, 354.0, 333.5, 313.0, 306.5, 277.5, 300.0, 344.5, 313.0, 263.5, 293.0, 301.5, 328.0, 279.0, 334.0, 311.5, 244.0, 339.5, 354.5, 307.0, 353.5, 283.0, 311.5, 235.5, 326.0, 248.5, 318.5, 364.0, 285.5, 344.0, 309.5, 313.0, 322.0, 299.5, 260.0, 275.0, 287.5, 325.5, 309.0, 317.5, 302.0, 336.0, 339.0, 331.0, 322.0, 350.0, 302.5, 276.5, 313.5, 291.0, 321.0, 304.0, 309.5, 184.0, 296.5, 353.0, 266.5, 313.0, 297.5, 261.5, 334.0, 287.0, 291.0, 297.0, 312.0, 304.5, 322.5, 267.0, 259.0, 285.0, 325.5, 307.5, 283.5, 283.5, 271.0, 320.5, 319.5, 299.0, 311.5, 307.5, 328.0]"
CONNECTING_PAX_PRIORITY_SEAT_ALLOCATION,COURTESY_DEBOARDING_RULE_DEBOARDING,1732,"[14, 0, 15, 3, 0, 0, 0, 0, 4, 0, 3, 0, 1, 0, 0, 0, 11, 0, 0, 0, 9, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 16, 5, 15, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 0, 3, 0, 0, 0, 21, 0, 0, 19, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 2, 0, 0, 42, 0, 0, 4, 39, 0, 25, 0, 30, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 5, 0, 0, 0, 0, 7, 0, 8, 0, 0, 44, 0, 0, 13, 0, 45, 27, 0, 56, 0, 0, 0, 0, 0, 0, 23, 0, 10, 43, 42, 0, 0, 0, 6, 0, 7, 57, 12, 0, 0, 0, 66, 5, 0, 2, 11, 22, 40, 0, 6, 0, 3, 0, 8, 14, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 63, 0, 0, 0, 25, 0, 0, 12, 0, 0, 0, 22, 0, 78, 0, 24, 0, 0, 9, 13, 0, 0, 0, 38, 0, 0, 0, 21, 0, 1, 3, 0, 0, 18, 0, 0, 0, 0, 9, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 55, 0, 0, 32, 0, 0, 8, 14, 0, 10, 0, 0, 31, 0, 0, 20, 0, 7, 11, 0, 1, 0, 12, 0, 0, 19, 0, 0, 0, 0, 0, 16, 0, 0, 6, 0, 0, 6, 30, 5, 9, 0, 0, 3, 0, 0, 3, 8]",560.2738970588235,"[751.0, 522.5, 666.5, 627.0, 581.0, 431.5, 649.0, 362.5, 356.5, 243.0, 438.0, 562.0, 680.0, 648.5, 734.0, 520.5, 620.0, 644.0, 543.0, 554.5, 809.0, 643.0, 359.5, 447.0, 367.5, 746.0, 375.0, 604.0, 587.0, 398.5, 598.0, 434.5, 588.5, 511.5, 649.0, 537.5, 511.0, 479.5, 329.0, 271.5, 741.0, 772.0, 760.0, 507.0, 442.5, 759.5, 844.5, 552.5, 553.0, 721.5, 799.5, 704.0, 388.0, 355.5, 445.5, 390.5, 570.0, 590.0, 569.0, 720.0, 570.0, 474.0, 442.0, 431.5, 587.0, 808.5, 673.0, 471.0, 592.5, 557.0, 562.0, 706.5, 496.0, 656.5, 501.5, 671.0, 803.0, 430.0, 569.5, 453.0, 652.0, 705.0, 491.5, 563.5, 674.5, 464.0, 699.5, 611.0, 707.0, 552.0, 699.0, 766.0, 532.5, 599.5, 376.0, 591.0, 521.5, 304.5, 584.5, 564.0, 503.5, 631.0, 481.0, 389.0, 447.0, 336.0, 549.5, 672.0, 781.5, 669.0, 767.5, 530.0, 435.0, 365.5, 508.5, 654.5, 636.5, 741.5, 651.5, 576.5, 560.0, 329.0, 383.0, 705.0, 512.0, 556.0, 719.5, 685.5, 594.0, 333.5, 723.0, 688.5, 340.5, 348.0, 632.5, 571.0, 603.5, 491.5, 648.5, 540.0, 335.5, 313.0, 653.5, 664.5, 527.5, 615.5, 682.5, 680.0, 436.0, 379.5, 755.5, 531.5, 351.5, 848.5, 553.0, 845.0, 568.0, 366.0, 476.0, 294.5, 567.0, 500.5, 521.0, 683.0, 693.0, 637.0, 615.0, 598.0, 720.0, 402.0, 661.5, 618.5, 388.0, 482.0, 577.0, 487.5, 536.5, 472.5, 623.5, 461.0, 724.0, 656.5, 545.0, 600.5, 593.5, 690.5, 624.0, 679.0, 422.5, 630.5, 556.0, 351.0, 707.0, 679.0, 553.5, 565.5, 356.5, 539.0, 660.0, 592.0, 336.0, 474.0, 590.5, 612.5, 453.0, 687.0, 552.5, 286.5, 793.5, 843.5, 596.0, 753.5, 423.5, 529.5, 285.5, 789.5, 308.0, 687.5, 751.0, 464.0, 823.0, 578.0, 588.5, 618.5, 596.5, 371.0, 436.0, 484.5, 610.0, 583.5, 556.0, 575.5, 726.0, 753.0, 726.0, 563.0, 847.5, 530.0, 350.0, 611.0, 435.5, 553.5, 638.0, 571.5, 183.0, 463.0, 715.5, 398.5, 609.5, 519.0, 343.0, 682.0, 540.5, 490.5, 488.5, 479.0, 427.0, 636.5, 378.0, 358.5, 541.0, 631.0, 607.0, 426.0, 490.0, 396.5, 551.5, 770.0, 459.0, 551.0, 572.5, 525.0]"
CONNECTING_PAX_PRIORITY_SEAT_ALLOCATION,AISLE_PRIORITY_DEBOARDING_RULE,1691,"[14, 0, 15, 3, 0, 0, 0, 0, 4, 0, 3, 0, 0, 0, 0, 0, 11, 0, 0, 0, 9, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 16, 5, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 0, 1, 0, 0, 0, 21, 0, 0, 19, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 2, 0, 0, 42, 0, 0, 4, 39, 0, 25, 0, 30, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 0, 8, 0, 0, 44, 0, 0, 13, 0, 45, 27, 0, 47, 0, 0, 0, 0, 0, 0, 23, 0, 10, 43, 42, 0, 0, 0, 6, 0, 7, 57, 13, 0, 0, 0, 66, 5, 0, 0, 11, 22, 40, 0, 6, 0, 0, 0, 8, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 25, 0, 0, 14, 0, 0, 0, 22, 0, 78, 0, 23, 0, 0, 9, 13, 0, 0, 0, 38, 0, 0, 0, 22, 0, 0, 3, 0, 0, 18, 0, 0, 0, 0, 9, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 55, 0, 0, 32, 0, 0, 8, 14, 0, 10, 0, 0, 26, 0, 0, 20, 0, 7, 11, 0, 1, 0, 12, 0, 0, 19, 0, 0, 0, 0, 0, 16, 0, 0, 6, 0, 0, 6, 30, 5, 9, 0, 0, 0, 0, 0, 0, 8]",307.16360294117646,"[356.5, 291.5, 333.0, 339.5, 311.5, 284.5, 324.0, 258.0, 287.0, 217.5, 271.0, 322.0, 336.5, 329.5, 351.5, 296.5, 314.0, 343.0, 301.5, 301.5, 343.0, 309.0, 248.0, 271.5, 249.0, 346.0, 249.5, 325.5, 315.5, 257.5, 329.0, 299.0, 324.0, 309.0, 334.5, 310.0, 294.5, 290.0, 260.5, 231.0, 341.0, 338.0, 326.5, 311.5, 297.0, 344.5, 331.0, 308.0, 299.0, 341.0, 361.0, 335.0, 272.0, 276.5, 289.0, 291.0, 342.5, 317.5, 312.0, 347.0, 321.5, 271.5, 273.0, 277.5, 316.5, 346.5, 337.5, 282.5, 328.0, 302.0, 297.0, 330.0, 291.0, 353.0, 301.0, 339.0, 368.0, 289.5, 298.0, 300.0, 334.5, 334.0, 294.5, 330.5, 324.5, 280.0, 346.5, 317.0, 332.5, 312.5, 328.5, 343.5, 304.5, 307.5, 262.0, 316.0, 304.0, 248.5, 313.5, 307.5, 297.5, 328.0, 287.0, 255.5, 275.0, 237.0, 313.5, 355.0, 351.0, 329.0, 346.5, 304.5, 275.0, 255.5, 293.5, 322.0, 322.0, 351.0, 336.0, 312.5, 300.0, 263.0, 269.0, 352.5, 291.5, 297.5, 342.0, 325.5, 303.5, 256.5, 344.5, 347.0, 264.5, 263.0, 315.0, 311.5, 321.5, 288.0, 330.0, 317.0, 260.0, 265.0, 336.5, 301.0, 282.0, 332.5, 335.0, 324.5, 287.0, 273.0, 338.5, 297.0, 257.0, 352.5, 305.0, 359.0, 301.0, 268.5, 284.5, 249.0, 310.0, 284.0, 326.0, 330.0, 343.5, 338.5, 318.5, 324.5, 349.0, 254.0, 322.0, 327.5, 281.5, 283.5, 303.0, 304.0, 304.0, 292.5, 329.5, 282.5, 346.0, 352.0, 312.5, 314.5, 299.0, 321.5, 334.5, 334.0, 285.5, 300.0, 301.0, 260.0, 343.5, 326.5, 303.0, 299.5, 281.0, 298.0, 321.0, 303.5, 266.0, 296.5, 295.5, 324.5, 280.0, 347.0, 313.5, 254.0, 359.5, 376.0, 306.5, 351.0, 283.0, 294.0, 243.5, 346.5, 253.5, 327.0, 367.5, 282.5, 363.5, 312.5, 311.5, 320.5, 298.0, 253.5, 292.5, 280.5, 322.5, 322.5, 301.5, 309.0, 323.5, 346.0, 341.0, 317.0, 348.5, 307.0, 268.5, 310.5, 293.5, 315.0, 310.5, 323.5, 183.5, 296.5, 343.5, 257.0, 316.5, 317.0, 249.5, 349.0, 289.5, 283.0, 304.0, 327.5, 294.5, 317.0, 270.0, 258.0, 283.5, 333.5, 316.0, 272.5, 271.5, 270.5, 315.0, 321.5, 297.5, 310.0, 313.0, 313.0]"
